Start date/time,End date/time,Price Germany/Luxembourg [Euro/MWh]
"Sep 30, 2022 12:00 AM","Sep 30, 2022 1:00 AM",349.44
"Sep 30, 2022 1:00 AM","Sep 30, 2022 2:00 AM",336.1
"Sep 30, 2022 2:00 AM","Sep 30, 2022 3:00 AM",325.03
"Sep 30, 2022 3:00 AM","Sep 30, 2022 4:00 AM",322.42
"Sep 30, 2022 4:00 AM","Sep 30, 2022 5:00 AM",324.8
"Sep 30, 2022 5:00 AM","Sep 30, 2022 6:00 AM",348.44
"Sep 30, 2022 6:00 AM","Sep 30, 2022 7:00 AM",429.99
"Sep 30, 2022 7:00 AM","Sep 30, 2022 8:00 AM",524
"Sep 30, 2022 8:00 AM","Sep 30, 2022 9:00 AM",538.92
"Sep 30, 2022 9:00 AM","Sep 30, 2022 10:00 AM",431.37
"Sep 30, 2022 10:00 AM","Sep 30, 2022 11:00 AM",376.35
"Sep 30, 2022 11:00 AM","Sep 30, 2022 12:00 PM",334.17
"Sep 30, 2022 12:00 PM","Sep 30, 2022 1:00 PM",279.01
"Sep 30, 2022 1:00 PM","Sep 30, 2022 2:00 PM",252.2
"Sep 30, 2022 2:00 PM","Sep 30, 2022 3:00 PM",200.03
"Sep 30, 2022 3:00 PM","Sep 30, 2022 4:00 PM",195.36
"Sep 30, 2022 4:00 PM","Sep 30, 2022 5:00 PM",218.23
"Sep 30, 2022 5:00 PM","Sep 30, 2022 6:00 PM",306.61
"Sep 30, 2022 6:00 PM","Sep 30, 2022 7:00 PM",365.85
"Sep 30, 2022 7:00 PM","Sep 30, 2022 8:00 PM",356.73
"Sep 30, 2022 8:00 PM","Sep 30, 2022 9:00 PM",308.23
"Sep 30, 2022 9:00 PM","Sep 30, 2022 10:00 PM",192.44
"Sep 30, 2022 10:00 PM","Sep 30, 2022 11:00 PM",164
"Sep 30, 2022 11:00 PM","Oct 1, 2022 12:00 AM",91.95
"Oct 1, 2022 12:00 AM","Oct 1, 2022 1:00 AM",64.41
"Oct 1, 2022 1:00 AM","Oct 1, 2022 2:00 AM",63.59
"Oct 1, 2022 2:00 AM","Oct 1, 2022 3:00 AM",50
"Oct 1, 2022 3:00 AM","Oct 1, 2022 4:00 AM",21.48
"Oct 1, 2022 4:00 AM","Oct 1, 2022 5:00 AM",16.91
"Oct 1, 2022 5:00 AM","Oct 1, 2022 6:00 AM",15.03
"Oct 1, 2022 6:00 AM","Oct 1, 2022 7:00 AM",15.02
"Oct 1, 2022 7:00 AM","Oct 1, 2022 8:00 AM",23.84
"Oct 1, 2022 8:00 AM","Oct 1, 2022 9:00 AM",45.02
"Oct 1, 2022 9:00 AM","Oct 1, 2022 10:00 AM",73.05
"Oct 1, 2022 10:00 AM","Oct 1, 2022 11:00 AM",109.85
"Oct 1, 2022 11:00 AM","Oct 1, 2022 12:00 PM",106.77
"Oct 1, 2022 12:00 PM","Oct 1, 2022 1:00 PM",90
"Oct 1, 2022 1:00 PM","Oct 1, 2022 2:00 PM",74.04
"Oct 1, 2022 2:00 PM","Oct 1, 2022 3:00 PM",66.16
"Oct 1, 2022 3:00 PM","Oct 1, 2022 4:00 PM",66.9
"Oct 1, 2022 4:00 PM","Oct 1, 2022 5:00 PM",69.82
"Oct 1, 2022 5:00 PM","Oct 1, 2022 6:00 PM",137.8
"Oct 1, 2022 6:00 PM","Oct 1, 2022 7:00 PM",169.32
"Oct 1, 2022 7:00 PM","Oct 1, 2022 8:00 PM",195.77
"Oct 1, 2022 8:00 PM","Oct 1, 2022 9:00 PM",180.27
"Oct 1, 2022 9:00 PM","Oct 1, 2022 10:00 PM",144.9
"Oct 1, 2022 10:00 PM","Oct 1, 2022 11:00 PM",110.29
"Oct 1, 2022 11:00 PM","Oct 2, 2022 12:00 AM",77.45
"Oct 2, 2022 12:00 AM","Oct 2, 2022 1:00 AM",64.54
"Oct 2, 2022 1:00 AM","Oct 2, 2022 2:00 AM",64.04
"Oct 2, 2022 2:00 AM","Oct 2, 2022 3:00 AM",58.24
"Oct 2, 2022 3:00 AM","Oct 2, 2022 4:00 AM",61.95
