iter	RMSE
0	58.76875633
1	52.8594042
2	47.37014252
3	42.60192349
4	39.01829994
5	35.64345399
6	32.78211816
7	30.3860667
8	28.39080548
9	26.83314732
10	25.46997098
11	24.18259672
12	23.09854061
13	22.26847264
14	21.62087305
15	20.83882463
16	20.34197152
17	19.85940798
18	19.22406339
19	18.73404198
20	18.43537989
21	18.06530796
22	17.75178599
23	17.50201965
24	17.23335206
25	16.95092849
26	16.61054854
27	16.42740719
28	16.22298178
29	16.0227816
30	15.88422516
31	15.66662203
32	15.46421522
33	15.27573617
34	15.110598
35	15.04950454
36	14.96974628
37	14.88963394
38	14.85592116
39	14.75776576
40	14.67968876
41	14.60399073
42	14.47565107
43	14.42229452
44	14.31584602
45	14.23769732
46	14.15282539
47	14.0313208
48	13.97756476
49	13.92581004
50	13.84251301
51	13.80747498
52	13.72572641
53	13.66757786
54	13.60545191
55	13.5434731
56	13.48682764
57	13.45829895
58	13.42952829
59	13.40278913
60	13.33352384
61	13.3037368
62	13.25814361
63	13.21600162
64	13.17947993
65	13.1589359
66	13.09474925
67	13.0273431
68	12.99370505
69	12.9758729
70	12.94025764
71	12.90320307
72	12.88478294
73	12.85672571
74	12.79874607
75	12.76325918
76	12.73207018
77	12.6964664
78	12.64198427
79	12.62449033
80	12.61031145
81	12.56669161
82	12.53148207
83	12.48323378
84	12.45574678
85	12.4240813
86	12.37340102
87	12.33942719
88	12.28768216
89	12.23413883
90	12.19533442
91	12.16654194
92	12.128626
93	12.08240638
94	12.05076477
95	12.03308918
96	12.00198827
97	11.97525523
98	11.92612004
99	11.89352104
100	11.8552532
101	11.82843475
102	11.80114673
103	11.77672427
104	11.75232327
105	11.73454761
106	11.71178413
107	11.67659548
108	11.65099288
109	11.6158637
110	11.60018272
111	11.56154826
112	11.52877702
113	11.50306214
114	11.47603899
115	11.46203664
116	11.43035186
117	11.40310978
118	11.38725215
119	11.3687848
120	11.33872489
121	11.31130517
122	11.28972537
123	11.26926115
124	11.24965129
125	11.23130489
126	11.20897155
127	11.18664266
128	11.15701141
129	11.13544021
130	11.1161232
131	11.09985894
132	11.08127159
133	11.0645615
134	11.04601607
135	11.02880017
136	11.01226126
137	10.99721461
138	10.97625685
139	10.96362093
140	10.94036955
141	10.92573773
142	10.90017744
143	10.87656718
144	10.86477503
145	10.8406807
146	10.82299744
147	10.79922357
148	10.78233256
149	10.76148813
150	10.74596597
151	10.72351707
152	10.71061081
153	10.69438751
154	10.67138414
155	10.65639998
156	10.64175723
157	10.62593869
158	10.61042446
159	10.59127215
160	10.56311836
161	10.54980355
162	10.53779495
163	10.5189458
164	10.50543697
165	10.48881421
166	10.47424274
167	10.45731186
168	10.43925118
169	10.42316752
170	10.40238935
171	10.38844108
172	10.37923911
173	10.36820747
174	10.35561655
175	10.3351129
176	10.32626157
177	10.31166827
178	10.29696754
179	10.27899545
180	10.26109436
181	10.24934389
182	10.23821291
183	10.22281537
184	10.21030785
185	10.20014171
186	10.18078165
187	10.17205174
188	10.15305265
189	10.13143018
190	10.11944819
191	10.11005491
192	10.09833438
193	10.08575956
194	10.07139594
195	10.06045253
196	10.03959628
197	10.02474162
198	10.01696046
199	10.00964064
200	9.998100233
201	9.98634525
202	9.97551742
203	9.96613797
204	9.951644871
205	9.937513855
206	9.921958665
207	9.908224876
208	9.900904604
209	9.892219046
210	9.880150599
211	9.866101809
212	9.855376533
213	9.841417736
214	9.830582918
215	9.821531187
216	9.811297122
217	9.80257499
218	9.787989544
219	9.777630151
220	9.77192477
221	9.76180073
222	9.749210585
223	9.737096618
224	9.727560696
225	9.717112816
226	9.709646581
227	9.704497424
228	9.694082449
229	9.685704427
230	9.678705059
231	9.672415963
232	9.659505132
233	9.652267748
234	9.639780218
235	9.626795576
236	9.61970063
237	9.607502089
238	9.601355403
239	9.591204747
240	9.583424273
241	9.571287959
242	9.559384091
243	9.551440752
244	9.543215908
245	9.533773779
246	9.515741276
247	9.498574314
248	9.489603901
249	9.48328869
250	9.472245219
251	9.467336014
252	9.454621664
253	9.452050268
254	9.437244658
255	9.430089153
256	9.424861326
257	9.418276305
258	9.408575884
259	9.396314389
260	9.386044554
261	9.37497069
262	9.368186668
263	9.359292283
264	9.354298106
265	9.338302083
