iter	Passed	Remaining
0	3	929
1	7	936
2	10	945
3	14	952
4	18	978
5	23	998
6	29	1084
7	34	1097
8	38	1106
9	42	1078
10	45	1065
11	49	1045
12	53	1039
13	56	1025
14	60	1015
15	63	997
16	67	984
17	70	971
18	74	963
19	77	954
20	80	944
21	84	936
22	87	929
23	91	921
24	94	914
25	98	910
26	102	909
27	106	906
28	110	904
29	114	904
30	119	904
31	125	915
32	129	911
33	133	908
34	137	905
35	141	902
36	145	898
37	149	896
38	153	891
39	157	888
40	161	883
41	164	876
42	168	871
43	171	865
44	175	862
45	179	856
46	183	852
47	186	847
48	190	841
49	193	834
50	196	828
51	199	821
52	203	817
53	207	813
54	211	809
55	214	805
56	218	801
57	222	796
58	227	796
59	230	791
60	233	785
61	236	779
62	240	774
63	243	768
64	246	761
65	248	753
66	251	747
67	254	741
68	257	736
69	259	727
70	262	721
71	265	715
72	268	709
73	271	703
74	273	697
75	276	692
76	279	686
77	282	681
78	285	676
79	288	670
80	291	665
81	293	659
82	296	654
83	299	649
84	302	645
85	306	642
86	309	637
87	312	632
88	316	628
89	318	623
90	321	618
91	324	614
92	327	609
93	330	604
94	333	600
95	336	595
96	339	591
97	342	586
98	345	582
99	348	577
100	351	573
101	353	569
102	356	564
103	359	560
104	362	555
105	365	551
106	367	546
107	370	542
108	373	537
109	376	533
110	378	529
111	381	524
112	384	520
113	387	516
114	390	512
115	392	507
116	395	503
117	399	500
118	402	497
119	405	493
120	408	489
121	411	485
122	413	481
123	416	477
124	419	473
125	422	469
126	425	465
127	428	461
128	431	458
129	434	454
130	437	450
131	439	446
132	442	442
133	445	438
134	448	435
135	451	431
136	454	427
137	456	423
138	459	419
139	462	416
140	465	412
141	467	408
142	470	404
143	472	400
144	475	396
145	478	393
146	480	389
147	483	385
148	486	381
149	489	378
150	492	374
151	495	371
152	498	367
153	500	364
154	503	360
155	506	356
156	508	353
157	511	349
158	514	346
159	518	343
160	520	339
161	523	336
162	526	332
163	529	329
164	531	325
165	535	322
166	537	318
167	540	315
168	543	311
169	546	308
170	548	304
171	551	301
172	553	297
173	556	294
174	559	290
175	561	287
176	564	283
177	567	280
178	569	276
179	572	273
180	575	270
181	577	266
182	580	263
183	583	260
184	586	256
185	588	253
186	591	249
187	594	246
188	597	243
189	599	239
190	602	236
191	605	233
192	608	230
193	611	226
194	614	223
195	617	220
196	620	217
197	623	213
198	625	210
199	628	207
200	631	204
201	634	201
202	637	197
203	640	194
204	643	191
205	646	188
206	649	185
207	652	181
208	655	178
209	658	175
210	661	172
211	664	169
212	667	166
213	670	162
214	672	159
215	676	156
216	679	153
217	681	150
218	684	146
219	687	143
220	690	140
221	693	137
222	696	134
223	700	131
224	703	128
225	706	125
226	710	121
227	713	118
228	715	115
229	718	112
230	721	109
231	724	106
232	727	103
233	730	99
234	732	96
235	735	93
236	738	90
237	741	87
238	744	84
239	747	80
240	750	77
241	752	74
242	755	71
243	758	68
244	761	65
245	764	62
246	767	59
247	770	55
248	773	52
249	775	49
250	778	46
251	781	43
252	784	40
253	787	37
254	790	34
255	793	30
256	796	27
257	799	24
258	802	21
259	805	18
260	809	15
261	812	12
262	815	9
263	817	6
264	820	3
265	823	0
