Start date,End date,Total (grid load) [MWh],
"Jan 1, 2023 12:00 AM","Jan 1, 2023 1:00 AM","41,792.50",
"Jan 1, 2023 1:00 AM","Jan 1, 2023 2:00 AM","39,621.00",
"Jan 1, 2023 2:00 AM","Jan 1, 2023 3:00 AM","38,240.75",
"Jan 1, 2023 3:00 AM","Jan 1, 2023 4:00 AM","37,205.50",
"Jan 1, 2023 4:00 AM","Jan 1, 2023 5:00 AM","37,326.75",
"Jan 1, 2023 5:00 AM","Jan 1, 2023 6:00 AM","36,244.00",
"Jan 1, 2023 6:00 AM","Jan 1, 2023 7:00 AM","34,587.25",
"Jan 1, 2023 7:00 AM","Jan 1, 2023 8:00 AM","34,947.25",
"Jan 1, 2023 8:00 AM","Jan 1, 2023 9:00 AM","36,517.25",
"Jan 1, 2023 9:00 AM","Jan 1, 2023 10:00 AM","39,127.25",
"Jan 1, 2023 10:00 AM","Jan 1, 2023 11:00 AM","41,175.75",
"Jan 1, 2023 11:00 AM","Jan 1, 2023 12:00 PM","43,105.00",
"Jan 1, 2023 12:00 PM","Jan 1, 2023 1:00 PM","43,252.50",
"Jan 1, 2023 1:00 PM","Jan 1, 2023 2:00 PM","42,612.75",
"Jan 1, 2023 2:00 PM","Jan 1, 2023 3:00 PM","42,317.25",
"Jan 1, 2023 3:00 PM","Jan 1, 2023 4:00 PM","43,166.75",
"Jan 1, 2023 4:00 PM","Jan 1, 2023 5:00 PM","44,995.25",
"Jan 1, 2023 5:00 PM","Jan 1, 2023 6:00 PM","48,028.00",
"Jan 1, 2023 6:00 PM","Jan 1, 2023 7:00 PM","48,861.25",
"Jan 1, 2023 7:00 PM","Jan 1, 2023 8:00 PM","48,131.75",
"Jan 1, 2023 8:00 PM","Jan 1, 2023 9:00 PM","45,728.50",
"Jan 1, 2023 9:00 PM","Jan 1, 2023 10:00 PM","44,415.50",
"Jan 1, 2023 10:00 PM","Jan 1, 2023 11:00 PM","44,096.50",
"Jan 1, 2023 11:00 PM","Jan 2, 2023 12:00 AM","41,840.25",
"Jan 2, 2023 12:00 AM","Jan 2, 2023 1:00 AM","43,966.50",
"Jan 2, 2023 1:00 AM","Jan 2, 2023 2:00 AM","42,313.75",
"Jan 2, 2023 2:00 AM","Jan 2, 2023 3:00 AM","41,668.00",
"Jan 2, 2023 3:00 AM","Jan 2, 2023 4:00 AM","41,994.25",
"Jan 2, 2023 4:00 AM","Jan 2, 2023 5:00 AM","43,612.00",
"Jan 2, 2023 5:00 AM","Jan 2, 2023 6:00 AM","46,498.50",
"Jan 2, 2023 6:00 AM","Jan 2, 2023 7:00 AM","52,208.75",
"Jan 2, 2023 7:00 AM","Jan 2, 2023 8:00 AM","57,015.50",
"Jan 2, 2023 8:00 AM","Jan 2, 2023 9:00 AM","59,770.00",
"Jan 2, 2023 9:00 AM","Jan 2, 2023 10:00 AM","61,558.75",
"Jan 2, 2023 10:00 AM","Jan 2, 2023 11:00 AM","62,762.00",
"Jan 2, 2023 11:00 AM","Jan 2, 2023 12:00 PM","63,840.00",
"Jan 2, 2023 12:00 PM","Jan 2, 2023 1:00 PM","64,058.50",
"Jan 2, 2023 1:00 PM","Jan 2, 2023 2:00 PM","63,703.75",
