time,temperature_2m (øC),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),wind_speed_100m (km/h)
2025-01-01T00:00,0.7,84,0,0,0,3,34.9
2025-01-01T01:00,0.8,83,0,0,0,3,34.5
2025-01-01T02:00,2.1,83,0,0,0,3,37.1
2025-01-01T03:00,2.6,82,0,0,0,3,38.1
2025-01-01T04:00,3.1,82,0,0,0,3,38.2
2025-01-01T05:00,3.6,81,0,0,0,3,38.8
2025-01-01T06:00,4,79,0,0,0,3,39.4
2025-01-01T07:00,4.1,79,0,0,0,3,39.2
2025-01-01T08:00,4.3,79,0,0,0,3,39
2025-01-01T09:00,4.6,77,0,0,0,3,39.4
2025-01-01T10:00,5,75,0,0,0,3,38.1
2025-01-01T11:00,5.6,73,0,0,0,3,37.3
2025-01-01T12:00,6.1,71,0,0,0,3,37.2
2025-01-01T13:00,6.4,69,0,0,0,3,42.9
2025-01-01T14:00,6.7,73,0,0,0,3,41.9
2025-01-01T15:00,7,68,0,0,0,3,43.5
2025-01-01T16:00,6.8,68,0,0,0,3,44.9
2025-01-01T17:00,6.5,69,0,0,0,3,45.3
2025-01-01T18:00,6,71,0,0,0,3,43.1
2025-01-01T19:00,5.7,73,0,0,0,3,41.1
2025-01-01T20:00,5.8,73,0,0,0,3,41.2
2025-01-01T21:00,6.2,73,0,0,0,3,42.6
2025-01-01T22:00,6.5,71,0,0,0,3,43.7
2025-01-01T23:00,6.5,71,0.1,0.1,0,51,43.7
2025-01-02T00:00,6.2,76,0.4,0.4,0,51,43.7
2025-01-02T01:00,6.2,80,0.5,0.5,0,53,44.5
2025-01-02T02:00,6.8,83,0.3,0.3,0,51,38.4
2025-01-02T03:00,6.7,89,0.8,0.8,0,53,37.5
2025-01-02T04:00,6.2,93,1.2,1.2,0,55,34.2
2025-01-02T05:00,6.1,93,0.2,0.2,0,51,40
2025-01-02T06:00,5.7,91,0.1,0.1,0,51,43.9
2025-01-02T07:00,5.2,92,0.4,0.4,0,51,44.5
2025-01-02T08:00,4.5,85,0,0,0,3,36.8
2025-01-02T09:00,3.9,78,0,0,0,3,31.6
2025-01-02T10:00,3.8,74,0,0,0,3,27.8
2025-01-02T11:00,3.9,74,0,0,0,2,22.4
2025-01-02T12:00,4.5,74,0,0,0,0,21.8
2025-01-02T13:00,4.9,70,0,0,0,0,25.7
2025-01-02T14:00,4.7,78,0.1,0.1,0,51,21.8
2025-01-02T15:00,4.1,80,0.1,0.1,0,51,25.7
2025-01-02T16:00,3.3,82,0,0,0,1,23.1
2025-01-02T17:00,2.7,83,0,0,0,1,23.8
2025-01-02T18:00,2.4,84,0,0,0,0,25.2
2025-01-02T19:00,1.8,87,0,0,0,0,26
2025-01-02T20:00,1.5,90,0,0,0,1,27.2
2025-01-02T21:00,1.5,91,0,0,0,1,28.6
2025-01-02T22:00,1.2,91,0,0,0,1,28.5
2025-01-02T23:00,1,91,0,0,0,2,29
2025-01-03T00:00,1,91,0,0,0,2,29
2025-01-03T01:00,0.8,91,0,0,0,3,29.2
2025-01-03T02:00,1.2,93,0,0,0,3,28
2025-01-03T03:00,1.4,92,0,0,0,3,27.1
2025-01-03T04:00,1.5,92,0,0,0,3,27.4
2025-01-03T05:00,1.5,91,0,0,0,3,27.4
2025-01-03T06:00,1.2,89,0.8,0.1,0.49,73,28.2
2025-01-03T07:00,1.2,89,0.7,0.1,0.42,73,30.9
2025-01-03T08:00,1.2,84,0,0,0,3,35.2
2025-01-03T09:00,1.2,85,0,0,0,3,34.7
2025-01-03T10:00,1.5,80,0,0,0,2,35.5
2025-01-03T11:00,1.7,79,0,0,0,1,33.4
2025-01-03T12:00,2.3,75,0,0,0,3,40.7
2025-01-03T13:00,2.5,74,0,0,0,3,44.4
2025-01-03T14:00,2.2,79,0.3,0,0.21,73,46
2025-01-03T15:00,1.7,82,0.6,0.1,0.35,73,44.5
2025-01-03T16:00,1.2,82,0.4,0.1,0.21,73,48.7
2025-01-03T17:00,0.8,81,0.2,0,0.14,71,37
2025-01-03T18:00,0,78,0.1,0,0.07,71,33.7
2025-01-03T19:00,-0.7,76,0,0,0,0,32.1
2025-01-03T20:00,-1,79,0,0,0,0,30.9
2025-01-03T21:00,-1.2,81,0,0,0,0,31
