Start date,,Total (grid load) [MWh]
"Jan 1, 2023 12:00 AM",,"38,346.00"
"Jan 1, 2023 1:00 AM",,"37,777.25"
"Jan 1, 2023 2:00 AM",,"36,939.75"
"Jan 1, 2023 3:00 AM",,"35,932.50"
"Jan 1, 2023 4:00 AM",,"35,486.25"
"Jan 1, 2023 5:00 AM",,"35,647.25"
"Jan 1, 2023 6:00 AM",,"35,231.75"
"Jan 1, 2023 7:00 AM",,"36,172.25"
"Jan 1, 2023 8:00 AM",,"36,829.25"
"Jan 1, 2023 9:00 AM",,"39,226.50"
"Jan 1, 2023 10:00 AM",,"41,005.50"
"Jan 1, 2023 11:00 AM",,"43,703.00"
"Jan 1, 2023 12:00 PM",,"44,205.75"
"Jan 1, 2023 1:00 PM",,"43,621.75"
"Jan 1, 2023 2:00 PM",,"43,231.50"
"Jan 1, 2023 3:00 PM",,"43,691.75"
"Jan 1, 2023 4:00 PM",,"45,668.75"
"Jan 1, 2023 5:00 PM",,"48,732.00"
"Jan 1, 2023 6:00 PM",,"48,882.00"
"Jan 1, 2023 7:00 PM",,"47,468.50"
"Jan 1, 2023 8:00 PM",,"44,883.50"
"Jan 1, 2023 9:00 PM",,"43,222.75"
"Jan 1, 2023 10:00 PM",,"42,278.00"
"Jan 1, 2023 11:00 PM",,"39,092.75"
"Jan 2, 2023 12:00 AM",,"36,789.75"
"Jan 2, 2023 1:00 AM",,"35,423.75"
"Jan 2, 2023 2:00 AM",,"35,284.25"
"Jan 2, 2023 3:00 AM",,"36,058.50"
"Jan 2, 2023 4:00 AM",,"37,796.00"
"Jan 2, 2023 5:00 AM",,"40,899.00"
"Jan 2, 2023 6:00 AM",,"47,069.50"
"Jan 2, 2023 7:00 AM",,"52,317.25"
"Jan 2, 2023 8:00 AM",,"56,231.00"
"Jan 2, 2023 9:00 AM",,"57,444.75"
"Jan 2, 2023 10:00 AM",,"59,241.00"
"Jan 2, 2023 11:00 AM",,"60,654.50"
"Jan 2, 2023 12:00 PM",,"61,571.75"
"Jan 2, 2023 1:00 PM",,"60,448.00"
"Jan 2, 2023 2:00 PM",,"59,188.25"
"Jan 2, 2023 3:00 PM",,"59,014.00"
"Jan 2, 2023 4:00 PM",,"59,885.50"
"Jan 2, 2023 5:00 PM",,"61,094.00"
"Jan 2, 2023 6:00 PM",,"60,650.25"
"Jan 2, 2023 7:00 PM",,"59,584.00"
"Jan 2, 2023 8:00 PM",,"56,001.00"
"Jan 2, 2023 9:00 PM",,"53,154.25"
"Jan 2, 2023 10:00 PM",,"50,189.50"
"Jan 2, 2023 11:00 PM",,"47,103.50"
"Jan 3, 2023 12:00 AM",,"44,238.25"
"Jan 3, 2023 1:00 AM",,"42,383.50"
"Jan 3, 2023 2:00 AM",,"41,816.50"
"Jan 3, 2023 3:00 AM",,"41,849.75"
"Jan 3, 2023 4:00 AM",,"43,469.00"
"Jan 3, 2023 5:00 AM",,"45,864.50"
"Jan 3, 2023 6:00 AM",,"50,854.75"
"Jan 3, 2023 7:00 AM",,"55,893.00"
"Jan 3, 2023 8:00 AM",,"58,364.25"
"Jan 3, 2023 9:00 AM",,"59,363.25"
"Jan 3, 2023 10:00 AM",,"60,057.25"
"Jan 3, 2023 11:00 AM",,"60,964.75"
"Jan 3, 2023 12:00 PM",,"60,692.75"
"Jan 3, 2023 1:00 PM",,"59,218.00"
"Jan 3, 2023 2:00 PM",,"58,408.50"
"Jan 3, 2023 3:00 PM",,"58,068.25"
"Jan 3, 2023 4:00 PM",,"59,324.00"
"Jan 3, 2023 5:00 PM",,"61,914.50"
"Jan 3, 2023 6:00 PM",,"61,545.50"
"Jan 3, 2023 7:00 PM",,"59,743.25"
"Jan 3, 2023 8:00 PM",,"56,607.75"
"Jan 3, 2023 9:00 PM",,"53,669.00"
"Jan 3, 2023 10:00 PM",,"51,470.25"
"Jan 3, 2023 11:00 PM",,"48,352.00"
"Jan 4, 2023 12:00 AM",,"46,164.50"
"Jan 4, 2023 1:00 AM",,"44,741.75"
"Jan 4, 2023 2:00 AM",,"44,259.75"
"Jan 4, 2023 3:00 AM",,"45,149.75"
"Jan 4, 2023 4:00 AM",,"46,925.00"
"Jan 4, 2023 5:00 AM",,"49,768.50"
"Jan 4, 2023 6:00 AM",,"55,701.75"
"Jan 4, 2023 7:00 AM",,"60,084.50"
"Jan 4, 2023 8:00 AM",,"63,147.00"
"Jan 4, 2023 9:00 AM",,"64,182.00"
"Jan 4, 2023 10:00 AM",,"65,557.75"
"Jan 4, 2023 11:00 AM",,"66,892.00"
"Jan 4, 2023 12:00 PM",,"67,097.75"
"Jan 4, 2023 1:00 PM",,"65,934.50"
"Jan 4, 2023 2:00 PM",,"65,008.25"
"Jan 4, 2023 3:00 PM",,"64,415.25"
"Jan 4, 2023 4:00 PM",,"64,619.50"
"Jan 4, 2023 5:00 PM",,"66,606.50"
"Jan 4, 2023 6:00 PM",,"66,148.00"
"Jan 4, 2023 7:00 PM",,"64,006.50"
"Jan 4, 2023 8:00 PM",,"60,363.00"
"Jan 4, 2023 9:00 PM",,"57,242.25"
"Jan 4, 2023 10:00 PM",,"54,584.25"
"Jan 4, 2023 11:00 PM",,"51,435.50"
"Jan 5, 2023 12:00 AM",,"46,678.50"
"Jan 5, 2023 1:00 AM",,"44,609.00"
"Jan 5, 2023 2:00 AM",,"44,660.00"
"Jan 5, 2023 3:00 AM",,"45,043.75"
"Jan 5, 2023 4:00 AM",,"46,173.00"
"Jan 5, 2023 5:00 AM",,"48,272.75"
"Jan 5, 2023 6:00 AM",,"53,112.00"
"Jan 5, 2023 7:00 AM",,"59,100.00"
"Jan 5, 2023 8:00 AM",,"61,424.75"
"Jan 5, 2023 9:00 AM",,"62,114.50"
"Jan 5, 2023 10:00 AM",,"62,525.25"
"Jan 5, 2023 11:00 AM",,"63,951.50"
"Jan 5, 2023 12:00 PM",,"64,238.00"
"Jan 5, 2023 1:00 PM",,"62,460.50"
"Jan 5, 2023 2:00 PM",,"60,916.00"
"Jan 5, 2023 3:00 PM",,"59,913.00"
"Jan 5, 2023 4:00 PM",,"60,113.75"
"Jan 5, 2023 5:00 PM",,"62,282.25"
"Jan 5, 2023 6:00 PM",,"61,968.00"
"Jan 5, 2023 7:00 PM",,"59,748.75"
"Jan 5, 2023 8:00 PM",,"56,451.25"
"Jan 5, 2023 9:00 PM",,"52,788.75"
"Jan 5, 2023 10:00 PM",,"49,974.25"
"Jan 5, 2023 11:00 PM",,"46,587.25"
"Jan 6, 2023 12:00 AM",,"43,962.00"
"Jan 6, 2023 1:00 AM",,"42,095.50"
"Jan 6, 2023 2:00 AM",,"41,584.75"
"Jan 6, 2023 3:00 AM",,"42,296.75"
"Jan 6, 2023 4:00 AM",,"43,703.00"
"Jan 6, 2023 5:00 AM",,"45,916.50"
"Jan 6, 2023 6:00 AM",,"49,969.75"
"Jan 6, 2023 7:00 AM",,"53,778.25"
"Jan 6, 2023 8:00 AM",,"56,497.50"
"Jan 6, 2023 9:00 AM",,"58,189.00"
"Jan 6, 2023 10:00 AM",,"59,970.00"
"Jan 6, 2023 11:00 AM",,"61,298.00"
"Jan 6, 2023 12:00 PM",,"61,185.25"
"Jan 6, 2023 1:00 PM",,"59,553.75"
"Jan 6, 2023 2:00 PM",,"58,428.25"
"Jan 6, 2023 3:00 PM",,"57,361.50"
"Jan 6, 2023 4:00 PM",,"57,969.50"
"Jan 6, 2023 5:00 PM",,"59,909.50"
"Jan 6, 2023 6:00 PM",,"60,527.00"
"Jan 6, 2023 7:00 PM",,"58,109.00"
"Jan 6, 2023 8:00 PM",,"54,721.00"
"Jan 6, 2023 9:00 PM",,"52,406.50"
"Jan 6, 2023 10:00 PM",,"50,126.75"
"Jan 6, 2023 11:00 PM",,"46,624.25"
"Jan 7, 2023 12:00 AM",,"43,201.00"
"Jan 7, 2023 1:00 AM",,"41,185.25"
"Jan 7, 2023 2:00 AM",,"40,162.25"
"Jan 7, 2023 3:00 AM",,"39,778.25"
"Jan 7, 2023 4:00 AM",,"40,120.75"
"Jan 7, 2023 5:00 AM",,"40,901.75"
"Jan 7, 2023 6:00 AM",,"41,720.50"
"Jan 7, 2023 7:00 AM",,"44,499.25"
"Jan 7, 2023 8:00 AM",,"47,370.00"
"Jan 7, 2023 9:00 AM",,"50,230.75"
"Jan 7, 2023 10:00 AM",,"51,914.00"
"Jan 7, 2023 11:00 AM",,"53,639.25"
"Jan 7, 2023 12:00 PM",,"53,693.75"
"Jan 7, 2023 1:00 PM",,"52,312.00"
"Jan 7, 2023 2:00 PM",,"50,279.75"
"Jan 7, 2023 3:00 PM",,"50,658.50"
"Jan 7, 2023 4:00 PM",,"52,149.25"
"Jan 7, 2023 5:00 PM",,"55,371.00"
"Jan 7, 2023 6:00 PM",,"56,110.25"
"Jan 7, 2023 7:00 PM",,"54,536.00"
"Jan 7, 2023 8:00 PM",,"51,743.50"
"Jan 7, 2023 9:00 PM",,"49,493.75"
"Jan 7, 2023 10:00 PM",,"47,884.50"
"Jan 7, 2023 11:00 PM",,"44,757.25"
"Jan 8, 2023 12:00 AM",,"42,509.00"
"Jan 8, 2023 1:00 AM",,"40,708.50"
"Jan 8, 2023 2:00 AM",,"39,829.75"
"Jan 8, 2023 3:00 AM",,"40,059.50"
"Jan 8, 2023 4:00 AM",,"40,147.00"
"Jan 8, 2023 5:00 AM",,"40,020.00"
"Jan 8, 2023 6:00 AM",,"39,918.75"
"Jan 8, 2023 7:00 AM",,"41,043.00"
"Jan 8, 2023 8:00 AM",,"43,704.75"
"Jan 8, 2023 9:00 AM",,"47,136.50"
"Jan 8, 2023 10:00 AM",,"49,466.50"
"Jan 8, 2023 11:00 AM",,"52,035.75"
"Jan 8, 2023 12:00 PM",,"51,772.00"
"Jan 8, 2023 1:00 PM",,"50,231.25"
"Jan 8, 2023 2:00 PM",,"48,623.25"
"Jan 8, 2023 3:00 PM",,"48,433.75"
"Jan 8, 2023 4:00 PM",,"50,304.75"
"Jan 8, 2023 5:00 PM",,"54,134.00"
"Jan 8, 2023 6:00 PM",,"55,436.75"
"Jan 8, 2023 7:00 PM",,"53,863.75"
"Jan 8, 2023 8:00 PM",,"51,462.75"
"Jan 8, 2023 9:00 PM",,"49,194.50"
"Jan 8, 2023 10:00 PM",,"47,953.25"
"Jan 8, 2023 11:00 PM",,"45,160.00"
"Jan 9, 2023 12:00 AM",,"43,481.75"
"Jan 9, 2023 1:00 AM",,"42,441.00"
"Jan 9, 2023 2:00 AM",,"42,161.25"
"Jan 9, 2023 3:00 AM",,"42,423.00"
"Jan 9, 2023 4:00 AM",,"43,800.50"
"Jan 9, 2023 5:00 AM",,"47,183.25"
"Jan 9, 2023 6:00 AM",,"55,976.00"
"Jan 9, 2023 7:00 AM",,"61,933.50"
"Jan 9, 2023 8:00 AM",,"65,523.25"
"Jan 9, 2023 9:00 AM",,"66,089.50"
"Jan 9, 2023 10:00 AM",,"66,228.75"
"Jan 9, 2023 11:00 AM",,"66,810.75"
"Jan 9, 2023 12:00 PM",,"66,458.25"
"Jan 9, 2023 1:00 PM",,"66,064.50"
"Jan 9, 2023 2:00 PM",,"64,395.75"
"Jan 9, 2023 3:00 PM",,"63,095.00"
"Jan 9, 2023 4:00 PM",,"63,334.25"
"Jan 9, 2023 5:00 PM",,"66,029.25"
"Jan 9, 2023 6:00 PM",,"65,922.50"
"Jan 9, 2023 7:00 PM",,"64,274.75"
"Jan 9, 2023 8:00 PM",,"60,572.25"
"Jan 9, 2023 9:00 PM",,"57,381.25"
"Jan 9, 2023 10:00 PM",,"54,345.00"
"Jan 9, 2023 11:00 PM",,"50,887.50"
"Jan 10, 2023 12:00 AM",,"47,992.75"
"Jan 10, 2023 1:00 AM",,"45,917.00"
"Jan 10, 2023 2:00 AM",,"45,441.00"
"Jan 10, 2023 3:00 AM",,"46,005.00"
"Jan 10, 2023 4:00 AM",,"47,452.50"
"Jan 10, 2023 5:00 AM",,"50,984.50"
"Jan 10, 2023 6:00 AM",,"57,658.25"
"Jan 10, 2023 7:00 AM",,"63,619.00"
"Jan 10, 2023 8:00 AM",,"66,287.75"
"Jan 10, 2023 9:00 AM",,"66,847.00"
"Jan 10, 2023 10:00 AM",,"67,391.75"
"Jan 10, 2023 11:00 AM",,"67,594.75"
"Jan 10, 2023 12:00 PM",,"67,012.75"
"Jan 10, 2023 1:00 PM",,"66,256.75"
"Jan 10, 2023 2:00 PM",,"64,830.00"
"Jan 10, 2023 3:00 PM",,"64,041.50"
"Jan 10, 2023 4:00 PM",,"65,015.25"
"Jan 10, 2023 5:00 PM",,"67,937.25"
"Jan 10, 2023 6:00 PM",,"67,977.75"
"Jan 10, 2023 7:00 PM",,"66,773.75"
"Jan 10, 2023 8:00 PM",,"63,558.50"
"Jan 10, 2023 9:00 PM",,"60,247.25"
"Jan 10, 2023 10:00 PM",,"57,062.50"
"Jan 10, 2023 11:00 PM",,"54,022.25"
"Jan 11, 2023 12:00 AM",,"50,647.50"
"Jan 11, 2023 1:00 AM",,"48,647.50"
"Jan 11, 2023 2:00 AM",,"47,805.50"
"Jan 11, 2023 3:00 AM",,"48,027.50"
"Jan 11, 2023 4:00 AM",,"49,076.75"
"Jan 11, 2023 5:00 AM",,"52,448.50"
"Jan 11, 2023 6:00 AM",,"59,760.50"
"Jan 11, 2023 7:00 AM",,"65,888.50"
"Jan 11, 2023 8:00 AM",,"68,420.25"
"Jan 11, 2023 9:00 AM",,"68,045.25"
"Jan 11, 2023 10:00 AM",,"68,150.50"
"Jan 11, 2023 11:00 AM",,"68,848.50"
"Jan 11, 2023 12:00 PM",,"67,895.00"
"Jan 11, 2023 1:00 PM",,"66,679.25"
"Jan 11, 2023 2:00 PM",,"65,970.50"
"Jan 11, 2023 3:00 PM",,"65,235.25"
"Jan 11, 2023 4:00 PM",,"65,690.25"
"Jan 11, 2023 5:00 PM",,"68,357.00"
"Jan 11, 2023 6:00 PM",,"68,192.25"
"Jan 11, 2023 7:00 PM",,"66,528.75"
"Jan 11, 2023 8:00 PM",,"63,008.00"
"Jan 11, 2023 9:00 PM",,"59,739.75"
"Jan 11, 2023 10:00 PM",,"56,695.75"
"Jan 11, 2023 11:00 PM",,"54,000.50"
"Jan 12, 2023 12:00 AM",,"51,222.50"
"Jan 12, 2023 1:00 AM",,"49,455.00"
"Jan 12, 2023 2:00 AM",,"48,666.00"
"Jan 12, 2023 3:00 AM",,"48,683.00"
"Jan 12, 2023 4:00 AM",,"49,665.50"
"Jan 12, 2023 5:00 AM",,"53,023.00"
"Jan 12, 2023 6:00 AM",,"61,110.25"
"Jan 12, 2023 7:00 AM",,"66,639.50"
"Jan 12, 2023 8:00 AM",,"69,503.00"
"Jan 12, 2023 9:00 AM",,"70,207.50"
"Jan 12, 2023 10:00 AM",,"70,784.50"
"Jan 12, 2023 11:00 AM",,"71,710.25"
"Jan 12, 2023 12:00 PM",,"70,803.75"
"Jan 12, 2023 1:00 PM",,"69,838.75"
"Jan 12, 2023 2:00 PM",,"68,419.75"
"Jan 12, 2023 3:00 PM",,"67,606.75"
"Jan 12, 2023 4:00 PM",,"67,327.50"
"Jan 12, 2023 5:00 PM",,"69,233.50"
"Jan 12, 2023 6:00 PM",,"69,065.00"
"Jan 12, 2023 7:00 PM",,"67,539.50"
"Jan 12, 2023 8:00 PM",,"63,744.50"
"Jan 12, 2023 9:00 PM",,"60,089.75"
"Jan 12, 2023 10:00 PM",,"57,127.00"
"Jan 12, 2023 11:00 PM",,"53,730.75"
"Jan 13, 2023 12:00 AM",,"50,318.50"
"Jan 13, 2023 1:00 AM",,"48,803.50"
"Jan 13, 2023 2:00 AM",,"48,175.50"
"Jan 13, 2023 3:00 AM",,"48,215.50"
"Jan 13, 2023 4:00 AM",,"49,394.75"
"Jan 13, 2023 5:00 AM",,"52,549.50"
"Jan 13, 2023 6:00 AM",,"59,112.00"
"Jan 13, 2023 7:00 AM",,"65,091.00"
"Jan 13, 2023 8:00 AM",,"67,817.25"
"Jan 13, 2023 9:00 AM",,"68,323.75"
"Jan 13, 2023 10:00 AM",,"68,680.50"
"Jan 13, 2023 11:00 AM",,"68,927.00"
"Jan 13, 2023 12:00 PM",,"68,837.75"
"Jan 13, 2023 1:00 PM",,"67,816.00"
"Jan 13, 2023 2:00 PM",,"65,914.50"
"Jan 13, 2023 3:00 PM",,"65,402.25"
"Jan 13, 2023 4:00 PM",,"66,213.00"
"Jan 13, 2023 5:00 PM",,"68,577.50"
"Jan 13, 2023 6:00 PM",,"67,923.75"
"Jan 13, 2023 7:00 PM",,"64,353.50"
"Jan 13, 2023 8:00 PM",,"60,832.00"
"Jan 13, 2023 9:00 PM",,"57,323.00"
"Jan 13, 2023 10:00 PM",,"54,256.00"
"Jan 13, 2023 11:00 PM",,"51,075.00"
"Jan 14, 2023 12:00 AM",,"49,449.25"
"Jan 14, 2023 1:00 AM",,"47,012.25"
"Jan 14, 2023 2:00 AM",,"45,773.00"
"Jan 14, 2023 3:00 AM",,"45,592.25"
"Jan 14, 2023 4:00 AM",,"45,989.50"
"Jan 14, 2023 5:00 AM",,"45,874.25"
"Jan 14, 2023 6:00 AM",,"46,337.75"
"Jan 14, 2023 7:00 AM",,"48,776.25"
"Jan 14, 2023 8:00 AM",,"52,122.25"
"Jan 14, 2023 9:00 AM",,"54,930.75"
"Jan 14, 2023 10:00 AM",,"56,981.50"
"Jan 14, 2023 11:00 AM",,"58,556.00"
"Jan 14, 2023 12:00 PM",,"58,735.00"
"Jan 14, 2023 1:00 PM",,"57,860.25"
"Jan 14, 2023 2:00 PM",,"56,625.75"
"Jan 14, 2023 3:00 PM",,"56,687.00"
"Jan 14, 2023 4:00 PM",,"58,146.00"
"Jan 14, 2023 5:00 PM",,"60,648.25"
"Jan 14, 2023 6:00 PM",,"60,943.75"
"Jan 14, 2023 7:00 PM",,"58,601.75"
"Jan 14, 2023 8:00 PM",,"55,121.00"
"Jan 14, 2023 9:00 PM",,"52,482.25"
"Jan 14, 2023 10:00 PM",,"50,955.25"
"Jan 14, 2023 11:00 PM",,"48,311.00"
"Jan 15, 2023 12:00 AM",,"45,464.00"
"Jan 15, 2023 1:00 AM",,"43,754.00"
"Jan 15, 2023 2:00 AM",,"42,834.25"
"Jan 15, 2023 3:00 AM",,"42,724.75"
"Jan 15, 2023 4:00 AM",,"42,812.00"
"Jan 15, 2023 5:00 AM",,"42,774.50"
"Jan 15, 2023 6:00 AM",,"42,550.00"
"Jan 15, 2023 7:00 AM",,"43,953.00"
"Jan 15, 2023 8:00 AM",,"47,380.75"
"Jan 15, 2023 9:00 AM",,"51,295.25"
"Jan 15, 2023 10:00 AM",,"54,201.50"
"Jan 15, 2023 11:00 AM",,"56,895.50"
"Jan 15, 2023 12:00 PM",,"57,352.75"
"Jan 15, 2023 1:00 PM",,"56,274.00"
"Jan 15, 2023 2:00 PM",,"54,905.00"
"Jan 15, 2023 3:00 PM",,"54,315.50"
"Jan 15, 2023 4:00 PM",,"55,411.75"
"Jan 15, 2023 5:00 PM",,"58,481.75"
"Jan 15, 2023 6:00 PM",,"59,280.00"
"Jan 15, 2023 7:00 PM",,"57,939.50"
"Jan 15, 2023 8:00 PM",,"55,320.75"
"Jan 15, 2023 9:00 PM",,"53,599.75"
"Jan 15, 2023 10:00 PM",,"52,711.50"
"Jan 15, 2023 11:00 PM",,"49,818.00"
"Jan 16, 2023 12:00 AM",,"47,319.75"
"Jan 16, 2023 1:00 AM",,"45,568.50"
"Jan 16, 2023 2:00 AM",,"44,332.75"
"Jan 16, 2023 3:00 AM",,"44,191.00"
"Jan 16, 2023 4:00 AM",,"45,678.75"
"Jan 16, 2023 5:00 AM",,"49,775.75"
"Jan 16, 2023 6:00 AM",,"58,127.25"
"Jan 16, 2023 7:00 AM",,"64,309.25"
"Jan 16, 2023 8:00 AM",,"67,016.75"
"Jan 16, 2023 9:00 AM",,"67,415.00"
"Jan 16, 2023 10:00 AM",,"67,963.00"
"Jan 16, 2023 11:00 AM",,"68,696.25"
"Jan 16, 2023 12:00 PM",,"68,090.50"
"Jan 16, 2023 1:00 PM",,"67,147.75"
"Jan 16, 2023 2:00 PM",,"66,478.25"
"Jan 16, 2023 3:00 PM",,"66,600.50"
"Jan 16, 2023 4:00 PM",,"67,266.00"
"Jan 16, 2023 5:00 PM",,"69,608.75"
"Jan 16, 2023 6:00 PM",,"69,634.50"
"Jan 16, 2023 7:00 PM",,"68,007.00"
"Jan 16, 2023 8:00 PM",,"63,738.25"
"Jan 16, 2023 9:00 PM",,"60,909.00"
"Jan 16, 2023 10:00 PM",,"57,897.00"
"Jan 16, 2023 11:00 PM",,"54,697.00"
"Jan 17, 2023 12:00 AM",,"51,588.00"
"Jan 17, 2023 1:00 AM",,"49,594.75"
"Jan 17, 2023 2:00 AM",,"49,684.50"
"Jan 17, 2023 3:00 AM",,"49,743.75"
