Start date,End date,grid load [MWh],,,
"Jan 10, 2025 12:00 AM","Jan 10, 2025 1:00 AM","54,391.50",,,
"Jan 10, 2025 1:00 AM","Jan 10, 2025 2:00 AM","52,596.00",,,
"Jan 10, 2025 2:00 AM","Jan 10, 2025 3:00 AM","51,777.50",,,
"Jan 10, 2025 3:00 AM","Jan 10, 2025 4:00 AM","52,006.00",,,
"Jan 10, 2025 4:00 AM","Jan 10, 2025 5:00 AM","53,085.00",,,
"Jan 10, 2025 5:00 AM","Jan 10, 2025 6:00 AM","55,405.00",,,
"Jan 10, 2025 6:00 AM","Jan 10, 2025 7:00 AM","62,222.75",,,
"Jan 10, 2025 7:00 AM","Jan 10, 2025 8:00 AM","67,832.25",,,
"Jan 10, 2025 8:00 AM","Jan 10, 2025 9:00 AM","70,428.50",,,
"Jan 10, 2025 9:00 AM","Jan 10, 2025 10:00 AM","71,449.00",,,
"Jan 10, 2025 10:00 AM","Jan 10, 2025 11:00 AM","72,477.75",,,
"Jan 10, 2025 11:00 AM","Jan 10, 2025 12:00 PM","72,205.25",,,
"Jan 10, 2025 12:00 PM","Jan 10, 2025 1:00 PM","71,520.50",,,
"Jan 10, 2025 1:00 PM","Jan 10, 2025 2:00 PM","69,820.00",,,
"Jan 10, 2025 2:00 PM","Jan 10, 2025 3:00 PM","67,740.75",,,
"Jan 10, 2025 3:00 PM","Jan 10, 2025 4:00 PM","67,037.25",,,
"Jan 10, 2025 4:00 PM","Jan 10, 2025 5:00 PM","67,319.75",,,
"Jan 10, 2025 5:00 PM","Jan 10, 2025 6:00 PM","69,266.00",,,
"Jan 10, 2025 6:00 PM","Jan 10, 2025 7:00 PM","68,700.75",,,
"Jan 10, 2025 7:00 PM","Jan 10, 2025 8:00 PM","66,507.50",,,
"Jan 10, 2025 8:00 PM","Jan 10, 2025 9:00 PM","62,881.50",,,
"Jan 10, 2025 9:00 PM","Jan 10, 2025 10:00 PM","59,770.75",,,
"Jan 10, 2025 10:00 PM","Jan 10, 2025 11:00 PM","56,946.50",,,
"Jan 10, 2025 11:00 PM","Jan 11, 2025 12:00 AM","53,821.50",,,
"Jan 11, 2025 12:00 AM","Jan 11, 2025 1:00 AM","50,665.00",,,
"Jan 11, 2025 1:00 AM","Jan 11, 2025 2:00 AM","48,548.50",,,
"Jan 11, 2025 2:00 AM","Jan 11, 2025 3:00 AM","47,336.50",,,
"Jan 11, 2025 3:00 AM","Jan 11, 2025 4:00 AM","46,894.75",,,
"Jan 11, 2025 4:00 AM","Jan 11, 2025 5:00 AM","46,595.50",,,
"Jan 11, 2025 5:00 AM","Jan 11, 2025 6:00 AM","46,939.00",,,
"Jan 11, 2025 6:00 AM","Jan 11, 2025 7:00 AM","48,403.75",,,
"Jan 11, 2025 7:00 AM","Jan 11, 2025 8:00 AM","50,458.00",,,
"Jan 11, 2025 8:00 AM","Jan 11, 2025 9:00 AM","54,217.00",,,
"Jan 11, 2025 9:00 AM","Jan 11, 2025 10:00 AM","57,040.25",,,
"Jan 11, 2025 10:00 AM","Jan 11, 2025 11:00 AM","58,921.25",,,
"Jan 11, 2025 11:00 AM","Jan 11, 2025 12:00 PM","60,223.25",,,
"Jan 11, 2025 12:00 PM","Jan 11, 2025 1:00 PM","60,089.75",,,
"Jan 11, 2025 1:00 PM","Jan 11, 2025 2:00 PM","59,210.50",,,
"Jan 11, 2025 2:00 PM","Jan 11, 2025 3:00 PM","58,809.00",,,
"Jan 11, 2025 3:00 PM","Jan 11, 2025 4:00 PM","59,363.25",,,
"Jan 11, 2025 4:00 PM","Jan 11, 2025 5:00 PM","60,196.75",,,
"Jan 11, 2025 5:00 PM","Jan 11, 2025 6:00 PM","62,794.75",,,
"Jan 11, 2025 6:00 PM","Jan 11, 2025 7:00 PM","63,023.50",,,
"Jan 11, 2025 7:00 PM","Jan 11, 2025 8:00 PM","60,904.50",,,
"Jan 11, 2025 8:00 PM","Jan 11, 2025 9:00 PM","57,643.75",,,
"Jan 11, 2025 9:00 PM","Jan 11, 2025 10:00 PM","54,960.75",,,
"Jan 11, 2025 10:00 PM","Jan 11, 2025 11:00 PM","53,326.25",,,
"Jan 11, 2025 11:00 PM","Jan 12, 2025 12:00 AM","50,685.00",,,
"Jan 12, 2025 12:00 AM","Jan 12, 2025 1:00 AM","47,653.75",,,
"Jan 12, 2025 1:00 AM","Jan 12, 2025 2:00 AM","45,895.25",,,
"Jan 12, 2025 2:00 AM","Jan 12, 2025 3:00 AM","44,840.50",,,
"Jan 12, 2025 3:00 AM","Jan 12, 2025 4:00 AM","44,159.75",,,
"Jan 12, 2025 4:00 AM","Jan 12, 2025 5:00 AM","43,960.00",,,
"Jan 12, 2025 5:00 AM","Jan 12, 2025 6:00 AM","44,346.75",,,
"Jan 12, 2025 6:00 AM","Jan 12, 2025 7:00 AM","43,888.75",,,
"Jan 12, 2025 7:00 AM","Jan 12, 2025 8:00 AM","45,772.75",,,
"Jan 12, 2025 8:00 AM","Jan 12, 2025 9:00 AM","49,245.50",,,
"Jan 12, 2025 9:00 AM","Jan 12, 2025 10:00 AM","51,989.00",,,
"Jan 12, 2025 10:00 AM","Jan 12, 2025 11:00 AM","54,385.00",,,
"Jan 12, 2025 11:00 AM","Jan 12, 2025 12:00 PM","56,656.00",,,
"Jan 12, 2025 12:00 PM","Jan 12, 2025 1:00 PM","56,756.75",,,
"Jan 12, 2025 1:00 PM","Jan 12, 2025 2:00 PM","54,792.00",,,
"Jan 12, 2025 2:00 PM","Jan 12, 2025 3:00 PM","53,564.00",,,
"Jan 12, 2025 3:00 PM","Jan 12, 2025 4:00 PM","52,951.25",,,
"Jan 12, 2025 4:00 PM","Jan 12, 2025 5:00 PM","54,487.75",,,
"Jan 12, 2025 5:00 PM","Jan 12, 2025 6:00 PM","58,691.00",,,
"Jan 12, 2025 6:00 PM","Jan 12, 2025 7:00 PM","59,737.50",,,
"Jan 12, 2025 7:00 PM","Jan 12, 2025 8:00 PM","58,454.50",,,
"Jan 12, 2025 8:00 PM","Jan 12, 2025 9:00 PM","55,832.50",,,
"Jan 12, 2025 9:00 PM","Jan 12, 2025 10:00 PM","54,119.25",,,
"Jan 12, 2025 10:00 PM","Jan 12, 2025 11:00 PM","53,149.75",,,
"Jan 12, 2025 11:00 PM","Jan 13, 2025 12:00 AM","50,818.75",,,
"Jan 13, 2025 12:00 AM","Jan 13, 2025 1:00 AM","48,661.50",,,
"Jan 13, 2025 1:00 AM","Jan 13, 2025 2:00 AM","47,580.75",,,
"Jan 13, 2025 2:00 AM","Jan 13, 2025 3:00 AM","47,143.00",,,
"Jan 13, 2025 3:00 AM","Jan 13, 2025 4:00 AM","47,090.00",,,
"Jan 13, 2025 4:00 AM","Jan 13, 2025 5:00 AM","48,942.50",,,
"Jan 13, 2025 5:00 AM","Jan 13, 2025 6:00 AM","53,158.00",,,
"Jan 13, 2025 6:00 AM","Jan 13, 2025 7:00 AM","61,415.25",,,
"Jan 13, 2025 7:00 AM","Jan 13, 2025 8:00 AM","67,690.50",,,
"Jan 13, 2025 8:00 AM","Jan 13, 2025 9:00 AM","70,805.75",,,
"Jan 13, 2025 9:00 AM","Jan 13, 2025 10:00 AM","71,882.75",,,
"Jan 13, 2025 10:00 AM","Jan 13, 2025 11:00 AM","72,608.50",,,
"Jan 13, 2025 11:00 AM","Jan 13, 2025 12:00 PM","72,625.00",,,
"Jan 13, 2025 12:00 PM","Jan 13, 2025 1:00 PM","72,245.00",,,
"Jan 13, 2025 1:00 PM","Jan 13, 2025 2:00 PM","70,580.00",,,
"Jan 13, 2025 2:00 PM","Jan 13, 2025 3:00 PM","69,322.50",,,
"Jan 13, 2025 3:00 PM","Jan 13, 2025 4:00 PM","69,608.75",,,
"Jan 13, 2025 4:00 PM","Jan 13, 2025 5:00 PM","70,178.00",,,
"Jan 13, 2025 5:00 PM","Jan 13, 2025 6:00 PM","72,746.00",,,
"Jan 13, 2025 6:00 PM","Jan 13, 2025 7:00 PM","72,985.75",,,
"Jan 13, 2025 7:00 PM","Jan 13, 2025 8:00 PM","71,838.00",,,
"Jan 13, 2025 8:00 PM","Jan 13, 2025 9:00 PM","68,403.50",,,
"Jan 13, 2025 9:00 PM","Jan 13, 2025 10:00 PM","65,105.25",,,
"Jan 13, 2025 10:00 PM","Jan 13, 2025 11:00 PM","61,450.75",,,
"Jan 13, 2025 11:00 PM","Jan 14, 2025 12:00 AM","57,724.25",,,
"Jan 14, 2025 12:00 AM","Jan 14, 2025 1:00 AM","55,305.50",,,
"Jan 14, 2025 1:00 AM","Jan 14, 2025 2:00 AM","53,970.00",,,
"Jan 14, 2025 2:00 AM","Jan 14, 2025 3:00 AM","53,566.25",,,
"Jan 14, 2025 3:00 AM","Jan 14, 2025 4:00 AM","53,538.25",,,
"Jan 14, 2025 4:00 AM","Jan 14, 2025 5:00 AM","53,865.75",,,
"Jan 14, 2025 5:00 AM","Jan 14, 2025 6:00 AM","57,498.00",,,
"Jan 14, 2025 6:00 AM","Jan 14, 2025 7:00 AM","65,599.75",,,
"Jan 14, 2025 7:00 AM","Jan 14, 2025 8:00 AM","71,923.50",,,
"Jan 14, 2025 8:00 AM","Jan 14, 2025 9:00 AM","75,052.25",,,
"Jan 14, 2025 9:00 AM","Jan 14, 2025 10:00 AM","75,908.75",,,
"Jan 14, 2025 10:00 AM","Jan 14, 2025 11:00 AM","76,026.25",,,
"Jan 14, 2025 11:00 AM","Jan 14, 2025 12:00 PM","74,714.50",,,
"Jan 14, 2025 12:00 PM","Jan 14, 2025 1:00 PM","73,757.50",,,
"Jan 14, 2025 1:00 PM","Jan 14, 2025 2:00 PM","72,790.50",,,
"Jan 14, 2025 2:00 PM","Jan 14, 2025 3:00 PM","71,382.25",,,
"Jan 14, 2025 3:00 PM","Jan 14, 2025 4:00 PM","71,101.25",,,
"Jan 14, 2025 4:00 PM","Jan 14, 2025 5:00 PM","71,930.25",,,
"Jan 14, 2025 5:00 PM","Jan 14, 2025 6:00 PM","73,685.25",,,
"Jan 14, 2025 6:00 PM","Jan 14, 2025 7:00 PM","73,004.50",,,
"Jan 14, 2025 7:00 PM","Jan 14, 2025 8:00 PM","70,826.75",,,
"Jan 14, 2025 8:00 PM","Jan 14, 2025 9:00 PM","67,286.25",,,
"Jan 14, 2025 9:00 PM","Jan 14, 2025 10:00 PM","63,983.50",,,
"Jan 14, 2025 10:00 PM","Jan 14, 2025 11:00 PM","60,500.50",,,
"Jan 14, 2025 11:00 PM","Jan 15, 2025 12:00 AM","56,905.00",,,
"Jan 15, 2025 12:00 AM","Jan 15, 2025 1:00 AM","53,866.25",,,
"Jan 15, 2025 1:00 AM","Jan 15, 2025 2:00 AM","51,576.00",,,
"Jan 15, 2025 2:00 AM","Jan 15, 2025 3:00 AM","50,488.75",,,
"Jan 15, 2025 3:00 AM","Jan 15, 2025 4:00 AM","50,556.50",,,
"Jan 15, 2025 4:00 AM","Jan 15, 2025 5:00 AM","51,288.25",,,
"Jan 15, 2025 5:00 AM","Jan 15, 2025 6:00 AM","54,987.00",,,
"Jan 15, 2025 6:00 AM","Jan 15, 2025 7:00 AM","62,200.25",,,
"Jan 15, 2025 7:00 AM","Jan 15, 2025 8:00 AM","67,617.25",,,
"Jan 15, 2025 8:00 AM","Jan 15, 2025 9:00 AM","70,676.75",,,
"Jan 15, 2025 9:00 AM","Jan 15, 2025 10:00 AM","70,708.00",,,
"Jan 15, 2025 10:00 AM","Jan 15, 2025 11:00 AM","71,451.50",,,
"Jan 15, 2025 11:00 AM","Jan 15, 2025 12:00 PM","71,754.75",,,
"Jan 15, 2025 12:00 PM","Jan 15, 2025 1:00 PM","71,287.25",,,
"Jan 15, 2025 1:00 PM","Jan 15, 2025 2:00 PM","70,549.00",,,
"Jan 15, 2025 2:00 PM","Jan 15, 2025 3:00 PM","69,858.25",,,
"Jan 15, 2025 3:00 PM","Jan 15, 2025 4:00 PM","69,403.50",,,
"Jan 15, 2025 4:00 PM","Jan 15, 2025 5:00 PM","69,595.00",,,
"Jan 15, 2025 5:00 PM","Jan 15, 2025 6:00 PM","71,457.50",,,
"Jan 15, 2025 6:00 PM","Jan 15, 2025 7:00 PM","70,938.75",,,
"Jan 15, 2025 7:00 PM","Jan 15, 2025 8:00 PM","69,347.75",,,
"Jan 15, 2025 8:00 PM","Jan 15, 2025 9:00 PM","65,381.75",,,
"Jan 15, 2025 9:00 PM","Jan 15, 2025 10:00 PM","61,849.75",,,
"Jan 15, 2025 10:00 PM","Jan 15, 2025 11:00 PM","58,496.50",,,
"Jan 15, 2025 11:00 PM","Jan 16, 2025 12:00 AM","54,829.25",,,
"Jan 16, 2025 12:00 AM","Jan 16, 2025 1:00 AM","52,023.50",,,
"Jan 16, 2025 1:00 AM","Jan 16, 2025 2:00 AM","50,980.25",,,
"Jan 16, 2025 2:00 AM","Jan 16, 2025 3:00 AM","49,790.50",,,
"Jan 16, 2025 3:00 AM","Jan 16, 2025 4:00 AM","49,949.00",,,
"Jan 16, 2025 4:00 AM","Jan 16, 2025 5:00 AM","51,356.25",,,
"Jan 16, 2025 5:00 AM","Jan 16, 2025 6:00 AM","55,038.75",,,
"Jan 16, 2025 6:00 AM","Jan 16, 2025 7:00 AM","62,133.75",,,
"Jan 16, 2025 7:00 AM","Jan 16, 2025 8:00 AM","67,709.25",,,
"Jan 16, 2025 8:00 AM","Jan 16, 2025 9:00 AM","70,836.50",,,
"Jan 16, 2025 9:00 AM","Jan 16, 2025 10:00 AM","71,614.00",,,
"Jan 16, 2025 10:00 AM","Jan 16, 2025 11:00 AM","72,467.25",,,
"Jan 16, 2025 11:00 AM","Jan 16, 2025 12:00 PM","72,597.50",,,
