Start Date/Time,Temperature,Relative Humidity,Precipitation,Rain,Snowfall,Weather Code,Wind Speed,Grid Load,Total Generation,Year,Month,Day,Hour,Day of Week
10/02/2025 00:00,-1.6,81,0,0,0,3,19,"47,913.00","51,859.25",2025,2,10,0,Monday
10/02/2025 01:00,-1.2,85,0,0,0,3,18.6,"46,603.00","51,343.25",2025,2,10,1,Monday
10/02/2025 02:00,-1.1,84,0,0,0,3,19.6,"46,206.75","51,638.50",2025,2,10,2,Monday
10/02/2025 03:00,-1.4,84,0,0,0,3,21.1,"46,692.75","52,163.50",2025,2,10,3,Monday
10/02/2025 04:00,-1.5,84,0,0,0,3,20.9,"48,413.50","52,817.75",2025,2,10,4,Monday
10/02/2025 05:00,-1.7,85,0,0,0,3,21.2,"52,171.50","54,231.00",2025,2,10,5,Monday
10/02/2025 06:00,-1.9,85,0,0,0,3,20.5,"60,405.50","58,395.25",2025,2,10,6,Monday
10/02/2025 07:00,-1.7,84,0,0,0,3,20.8,"66,028.00","63,197.50",2025,2,10,7,Monday
10/02/2025 08:00,-1,82,0,0,0,3,22.6,"68,900.50","66,992.75",2025,2,10,8,Monday
10/02/2025 09:00,0.1,78,0,0,0,3,16.9,"70,142.00","68,649.25",2025,2,10,9,Monday
10/02/2025 10:00,1.4,73,0,0,0,3,17.2,"71,286.00","69,517.25",2025,2,10,10,Monday
10/02/2025 11:00,2.3,71,0,0,0,3,17.3,"72,072.75","71,624.00",2025,2,10,11,Monday
10/02/2025 12:00,3.1,69,0,0,0,3,17.1,"71,593.25","72,894.00",2025,2,10,12,Monday
10/02/2025 13:00,3.1,64,0,0,0,3,17,"71,374.00","72,310.00",2025,2,10,13,Monday
10/02/2025 14:00,3.4,63,0,0,0,1,19.7,"69,784.25","71,406.00",2025,2,10,14,Monday
10/02/2025 15:00,2.9,67,0,0,0,1,22.4,"68,453.00","68,707.75",2025,2,10,15,Monday
10/02/2025 16:00,1.6,70,0,0,0,0,27,"67,791.25","67,495.75",2025,2,10,16,Monday
10/02/2025 17:00,0.4,72,0,0,0,0,29.9,"70,319.75","70,057.75",2025,2,10,17,Monday
10/02/2025 18:00,0,70,0,0,0,0,31.7,"72,163.25","73,005.75",2025,2,10,18,Monday
10/02/2025 19:00,-0.1,67,0,0,0,0,31.5,"71,274.50","73,052.25",2025,2,10,19,Monday
10/02/2025 20:00,-0.3,66,0,0,0,0,30.9,"67,763.75","71,435.00",2025,2,10,20,Monday
10/02/2025 21:00,-0.8,66,0,0,0,0,31,"64,227.25","71,211.50",2025,2,10,21,Monday
10/02/2025 22:00,-1.2,63,0,0,0,0,30.5,"61,328.25","69,583.25",2025,2,10,22,Monday
10/02/2025 23:00,-1.6,60,0,0,0,0,29.9,"58,413.00","67,627.50",2025,2,10,23,Monday
11/02/2025 00:00,-2,58,0,0,0,0,30.5,"54,992.50","65,029.00",2025,2,11,0,Tuesday
11/02/2025 01:00,-2,72,0,0,0,0,31,"53,779.50","64,131.25",2025,2,11,1,Tuesday
11/02/2025 02:00,-2.3,72,0,0,0,0,31.8,"52,790.75","63,897.00",2025,2,11,2,Tuesday
