Start date,End date,Total-generation
"Feb 10, 2025 12:00 AM","Feb 10, 2025 1:00 AM","51,859.25"
"Feb 10, 2025 1:00 AM","Feb 10, 2025 2:00 AM","51,343.25"
"Feb 10, 2025 2:00 AM","Feb 10, 2025 3:00 AM","51,638.50"
"Feb 10, 2025 3:00 AM","Feb 10, 2025 4:00 AM","52,163.50"
"Feb 10, 2025 4:00 AM","Feb 10, 2025 5:00 AM","52,817.75"
"Feb 10, 2025 5:00 AM","Feb 10, 2025 6:00 AM","54,231.00"
"Feb 10, 2025 6:00 AM","Feb 10, 2025 7:00 AM","58,395.25"
"Feb 10, 2025 7:00 AM","Feb 10, 2025 8:00 AM","63,197.50"
"Feb 10, 2025 8:00 AM","Feb 10, 2025 9:00 AM","66,992.75"
"Feb 10, 2025 9:00 AM","Feb 10, 2025 10:00 AM","68,649.25"
"Feb 10, 2025 10:00 AM","Feb 10, 2025 11:00 AM","69,517.25"
"Feb 10, 2025 11:00 AM","Feb 10, 2025 12:00 PM","71,624.00"
"Feb 10, 2025 12:00 PM","Feb 10, 2025 1:00 PM","72,894.00"
"Feb 10, 2025 1:00 PM","Feb 10, 2025 2:00 PM","72,310.00"
"Feb 10, 2025 2:00 PM","Feb 10, 2025 3:00 PM","71,406.00"
"Feb 10, 2025 3:00 PM","Feb 10, 2025 4:00 PM","68,707.75"
"Feb 10, 2025 4:00 PM","Feb 10, 2025 5:00 PM","67,495.75"
"Feb 10, 2025 5:00 PM","Feb 10, 2025 6:00 PM","70,057.75"
"Feb 10, 2025 6:00 PM","Feb 10, 2025 7:00 PM","73,005.75"
"Feb 10, 2025 7:00 PM","Feb 10, 2025 8:00 PM","73,052.25"
"Feb 10, 2025 8:00 PM","Feb 10, 2025 9:00 PM","71,435.00"
"Feb 10, 2025 9:00 PM","Feb 10, 2025 10:00 PM","71,211.50"
"Feb 10, 2025 10:00 PM","Feb 10, 2025 11:00 PM","69,583.25"
"Feb 10, 2025 11:00 PM","Feb 11, 2025 12:00 AM","67,627.50"
"Feb 11, 2025 12:00 AM","Feb 11, 2025 1:00 AM","65,029.00"
"Feb 11, 2025 1:00 AM","Feb 11, 2025 2:00 AM","64,131.25"
"Feb 11, 2025 2:00 AM","Feb 11, 2025 3:00 AM","63,897.00"
"Feb 11, 2025 3:00 AM","Feb 11, 2025 4:00 AM","63,546.00"
"Feb 11, 2025 4:00 AM","Feb 11, 2025 5:00 AM","63,663.00"
"Feb 11, 2025 5:00 AM","Feb 11, 2025 6:00 AM","64,403.00"
"Feb 11, 2025 6:00 AM","Feb 11, 2025 7:00 AM","67,795.75"
"Feb 11, 2025 7:00 AM","Feb 11, 2025 8:00 AM","69,708.50"
"Feb 11, 2025 8:00 AM","Feb 11, 2025 9:00 AM","71,682.00"
"Feb 11, 2025 9:00 AM","Feb 11, 2025 10:00 AM","71,058.00"
"Feb 11, 2025 10:00 AM","Feb 11, 2025 11:00 AM","70,179.00"
"Feb 11, 2025 11:00 AM","Feb 11, 2025 12:00 PM","71,586.25"
"Feb 11, 2025 12:00 PM","Feb 11, 2025 1:00 PM","70,619.00"
"Feb 11, 2025 1:00 PM","Feb 11, 2025 2:00 PM","69,372.00"
"Feb 11, 2025 2:00 PM","Feb 11, 2025 3:00 PM","67,934.00"
"Feb 11, 2025 3:00 PM","Feb 11, 2025 4:00 PM","66,894.00"
"Feb 11, 2025 4:00 PM","Feb 11, 2025 5:00 PM","65,501.00"
"Feb 11, 2025 5:00 PM","Feb 11, 2025 6:00 PM","66,774.00"
"Feb 11, 2025 6:00 PM","Feb 11, 2025 7:00 PM","70,794.75"
"Feb 11, 2025 7:00 PM","Feb 11, 2025 8:00 PM","69,658.50"
"Feb 11, 2025 8:00 PM","Feb 11, 2025 9:00 PM","66,492.75"
"Feb 11, 2025 9:00 PM","Feb 11, 2025 10:00 PM","63,879.00"
"Feb 11, 2025 10:00 PM","Feb 11, 2025 11:00 PM","60,079.00"
"Feb 11, 2025 11:00 PM","Feb 12, 2025 12:00 AM","58,375.75"
"Feb 12, 2025 12:00 AM","Feb 12, 2025 1:00 AM","56,612.25"
"Feb 12, 2025 1:00 AM","Feb 12, 2025 2:00 AM","56,057.75"
"Feb 12, 2025 2:00 AM","Feb 12, 2025 3:00 AM","55,373.25"
"Feb 12, 2025 3:00 AM","Feb 12, 2025 4:00 AM","55,202.75"
"Feb 12, 2025 4:00 AM","Feb 12, 2025 5:00 AM","54,760.25"
"Feb 12, 2025 5:00 AM","Feb 12, 2025 6:00 AM","56,168.00"
"Feb 12, 2025 6:00 AM","Feb 12, 2025 7:00 AM","59,819.25"
"Feb 12, 2025 7:00 AM","Feb 12, 2025 8:00 AM","63,508.25"
"Feb 12, 2025 8:00 AM","Feb 12, 2025 9:00 AM","67,223.25"
"Feb 12, 2025 9:00 AM","Feb 12, 2025 10:00 AM","68,138.50"
"Feb 12, 2025 10:00 AM","Feb 12, 2025 11:00 AM","68,296.25"
"Feb 12, 2025 11:00 AM","Feb 12, 2025 12:00 PM","69,620.50"
"Feb 12, 2025 12:00 PM","Feb 12, 2025 1:00 PM","69,459.50"
"Feb 12, 2025 1:00 PM","Feb 12, 2025 2:00 PM","67,868.75"
"Feb 12, 2025 2:00 PM","Feb 12, 2025 3:00 PM","65,332.75"
"Feb 12, 2025 3:00 PM","Feb 12, 2025 4:00 PM","64,234.25"
"Feb 12, 2025 4:00 PM","Feb 12, 2025 5:00 PM","61,253.75"
"Feb 12, 2025 5:00 PM","Feb 12, 2025 6:00 PM","62,695.75"
"Feb 12, 2025 6:00 PM","Feb 12, 2025 7:00 PM","63,435.25"
"Feb 12, 2025 7:00 PM","Feb 12, 2025 8:00 PM","61,862.75"
"Feb 12, 2025 8:00 PM","Feb 12, 2025 9:00 PM","56,561.75"
"Feb 12, 2025 9:00 PM","Feb 12, 2025 10:00 PM","53,030.00"
"Feb 12, 2025 10:00 PM","Feb 12, 2025 11:00 PM","50,724.25"
"Feb 12, 2025 11:00 PM","Feb 13, 2025 12:00 AM","47,388.75"
"Feb 13, 2025 12:00 AM","Feb 13, 2025 1:00 AM","45,925.25"
"Feb 13, 2025 1:00 AM","Feb 13, 2025 2:00 AM","45,156.50"
"Feb 13, 2025 2:00 AM","Feb 13, 2025 3:00 AM","44,933.75"
"Feb 13, 2025 3:00 AM","Feb 13, 2025 4:00 AM","44,994.00"
"Feb 13, 2025 4:00 AM","Feb 13, 2025 5:00 AM","45,474.00"
"Feb 13, 2025 5:00 AM","Feb 13, 2025 6:00 AM","47,249.25"
"Feb 13, 2025 6:00 AM","Feb 13, 2025 7:00 AM","50,113.75"
"Feb 13, 2025 7:00 AM","Feb 13, 2025 8:00 AM","53,973.25"
"Feb 13, 2025 8:00 AM","Feb 13, 2025 9:00 AM","56,573.50"
"Feb 13, 2025 9:00 AM","Feb 13, 2025 10:00 AM","59,278.00"
"Feb 13, 2025 10:00 AM","Feb 13, 2025 11:00 AM","58,943.75"
"Feb 13, 2025 11:00 AM","Feb 13, 2025 12:00 PM","59,235.00"
"Feb 13, 2025 12:00 PM","Feb 13, 2025 1:00 PM","59,365.00"
"Feb 13, 2025 1:00 PM","Feb 13, 2025 2:00 PM","59,167.75"
"Feb 13, 2025 2:00 PM","Feb 13, 2025 3:00 PM","57,930.25"
"Feb 13, 2025 3:00 PM","Feb 13, 2025 4:00 PM","57,610.50"
"Feb 13, 2025 4:00 PM","Feb 13, 2025 5:00 PM","57,192.00"
"Feb 13, 2025 5:00 PM","Feb 13, 2025 6:00 PM","59,083.75"
"Feb 13, 2025 6:00 PM","Feb 13, 2025 7:00 PM","59,416.50"
