Start date,,,,,,,,,,,,,,Total
"Jan 1, 2023 12:00 AM",,,,,,,,,,,,,,"48,748.00"
"Jan 1, 2023 1:00 AM",,,,,,,,,,,,,,"49,802.00"
"Jan 1, 2023 2:00 AM",,,,,,,,,,,,,,"49,802.25"
"Jan 1, 2023 3:00 AM",,,,,,,,,,,,,,"47,127.75"
"Jan 1, 2023 4:00 AM",,,,,,,,,,,,,,"46,660.50"
"Jan 1, 2023 5:00 AM",,,,,,,,,,,,,,"46,796.50"
"Jan 1, 2023 6:00 AM",,,,,,,,,,,,,,"46,572.00"
"Jan 1, 2023 7:00 AM",,,,,,,,,,,,,,"47,507.50"
"Jan 1, 2023 8:00 AM",,,,,,,,,,,,,,"46,828.25"
"Jan 1, 2023 9:00 AM",,,,,,,,,,,,,,"48,719.00"
"Jan 1, 2023 10:00 AM",,,,,,,,,,,,,,"51,014.00"
"Jan 1, 2023 11:00 AM",,,,,,,,,,,,,,"52,192.75"
"Jan 1, 2023 12:00 PM",,,,,,,,,,,,,,"51,304.75"
"Jan 1, 2023 1:00 PM",,,,,,,,,,,,,,"49,426.00"
"Jan 1, 2023 2:00 PM",,,,,,,,,,,,,,"49,561.50"
"Jan 1, 2023 3:00 PM",,,,,,,,,,,,,,"48,683.25"
"Jan 1, 2023 4:00 PM",,,,,,,,,,,,,,"47,712.75"
"Jan 1, 2023 5:00 PM",,,,,,,,,,,,,,"46,961.75"
"Jan 1, 2023 6:00 PM",,,,,,,,,,,,,,"46,979.75"
"Jan 1, 2023 7:00 PM",,,,,,,,,,,,,,"45,669.25"
"Jan 1, 2023 8:00 PM",,,,,,,,,,,,,,"44,208.75"
"Jan 1, 2023 9:00 PM",,,,,,,,,,,,,,"44,080.25"
"Jan 1, 2023 10:00 PM",,,,,,,,,,,,,,"42,244.50"
"Jan 1, 2023 11:00 PM",,,,,,,,,,,,,,"40,760.75"
"Jan 2, 2023 12:00 AM",,,,,,,,,,,,,,"39,174.50"
"Jan 2, 2023 1:00 AM",,,,,,,,,,,,,,"38,503.00"
"Jan 2, 2023 2:00 AM",,,,,,,,,,,,,,"39,869.00"
"Jan 2, 2023 3:00 AM",,,,,,,,,,,,,,"41,254.75"
"Jan 2, 2023 4:00 AM",,,,,,,,,,,,,,"44,025.75"
"Jan 2, 2023 5:00 AM",,,,,,,,,,,,,,"46,281.50"
"Jan 2, 2023 6:00 AM",,,,,,,,,,,,,,"51,372.50"
"Jan 2, 2023 7:00 AM",,,,,,,,,,,,,,"55,296.00"
"Jan 2, 2023 8:00 AM",,,,,,,,,,,,,,"58,562.75"
"Jan 2, 2023 9:00 AM",,,,,,,,,,,,,,"62,758.25"
"Jan 2, 2023 10:00 AM",,,,,,,,,,,,,,"65,726.50"
"Jan 2, 2023 11:00 AM",,,,,,,,,,,,,,"67,322.00"
"Jan 2, 2023 12:00 PM",,,,,,,,,,,,,,"66,125.25"
"Jan 2, 2023 1:00 PM",,,,,,,,,,,,,,"64,733.00"
"Jan 2, 2023 2:00 PM",,,,,,,,,,,,,,"63,349.50"
"Jan 2, 2023 3:00 PM",,,,,,,,,,,,,,"60,532.25"
"Jan 2, 2023 4:00 PM",,,,,,,,,,,,,,"60,517.00"
"Jan 2, 2023 5:00 PM",,,,,,,,,,,,,,"64,417.25"
"Jan 2, 2023 6:00 PM",,,,,,,,,,,,,,"64,872.00"
"Jan 2, 2023 7:00 PM",,,,,,,,,,,,,,"63,256.25"
"Jan 2, 2023 8:00 PM",,,,,,,,,,,,,,"59,067.75"
"Jan 2, 2023 9:00 PM",,,,,,,,,,,,,,"56,693.50"
"Jan 2, 2023 10:00 PM",,,,,,,,,,,,,,"55,070.00"
"Jan 2, 2023 11:00 PM",,,,,,,,,,,,,,"53,455.00"
"Jan 3, 2023 12:00 AM",,,,,,,,,,,,,,"51,563.25"
"Jan 3, 2023 1:00 AM",,,,,,,,,,,,,,"50,322.00"
