Start date,End date,Total_generation
"Feb 9, 2022 12:00 AM","Feb 9, 2022 1:00 AM","62,835.00"
"Feb 9, 2022 1:00 AM","Feb 9, 2022 2:00 AM","62,140.75"
"Feb 9, 2022 2:00 AM","Feb 9, 2022 3:00 AM","61,915.25"
"Feb 9, 2022 3:00 AM","Feb 9, 2022 4:00 AM","61,992.00"
"Feb 9, 2022 4:00 AM","Feb 9, 2022 5:00 AM","62,951.50"
"Feb 9, 2022 5:00 AM","Feb 9, 2022 6:00 AM","64,796.25"
"Feb 9, 2022 6:00 AM","Feb 9, 2022 7:00 AM","71,754.75"
"Feb 9, 2022 7:00 AM","Feb 9, 2022 8:00 AM","74,651.25"
"Feb 9, 2022 8:00 AM","Feb 9, 2022 9:00 AM","75,595.75"
"Feb 9, 2022 9:00 AM","Feb 9, 2022 10:00 AM","77,951.25"
"Feb 9, 2022 10:00 AM","Feb 9, 2022 11:00 AM","79,863.75"
"Feb 9, 2022 11:00 AM","Feb 9, 2022 12:00 PM","81,071.25"
"Feb 9, 2022 12:00 PM","Feb 9, 2022 1:00 PM","81,602.00"
"Feb 9, 2022 1:00 PM","Feb 9, 2022 2:00 PM","81,414.00"
"Feb 9, 2022 2:00 PM","Feb 9, 2022 3:00 PM","78,811.50"
"Feb 9, 2022 3:00 PM","Feb 9, 2022 4:00 PM","75,228.75"
"Feb 9, 2022 4:00 PM","Feb 9, 2022 5:00 PM","72,398.50"
"Feb 9, 2022 5:00 PM","Feb 9, 2022 6:00 PM","71,643.00"
"Feb 9, 2022 6:00 PM","Feb 9, 2022 7:00 PM","70,747.75"
"Feb 9, 2022 7:00 PM","Feb 9, 2022 8:00 PM","69,113.00"
"Feb 9, 2022 8:00 PM","Feb 9, 2022 9:00 PM","66,806.75"
"Feb 9, 2022 9:00 PM","Feb 9, 2022 10:00 PM","63,334.00"
"Feb 9, 2022 10:00 PM","Feb 9, 2022 11:00 PM","60,827.25"
"Feb 9, 2022 11:00 PM","Feb 10, 2022 12:00 AM","58,563.75"
"Feb 10, 2022 12:00 AM","Feb 10, 2022 1:00 AM","56,520.50"
"Feb 10, 2022 1:00 AM","Feb 10, 2022 2:00 AM","55,195.50"
"Feb 10, 2022 2:00 AM","Feb 10, 2022 3:00 AM","54,479.25"
"Feb 10, 2022 3:00 AM","Feb 10, 2022 4:00 AM","54,117.75"
"Feb 10, 2022 4:00 AM","Feb 10, 2022 5:00 AM","54,780.25"
"Feb 10, 2022 5:00 AM","Feb 10, 2022 6:00 AM","57,158.75"
"Feb 10, 2022 6:00 AM","Feb 10, 2022 7:00 AM","61,852.00"
"Feb 10, 2022 7:00 AM","Feb 10, 2022 8:00 AM","65,184.75"
"Feb 10, 2022 8:00 AM","Feb 10, 2022 9:00 AM","68,614.50"
"Feb 10, 2022 9:00 AM","Feb 10, 2022 10:00 AM","71,353.75"
"Feb 10, 2022 10:00 AM","Feb 10, 2022 11:00 AM","73,936.25"
"Feb 10, 2022 11:00 AM","Feb 10, 2022 12:00 PM","76,726.75"
"Feb 10, 2022 12:00 PM","Feb 10, 2022 1:00 PM","77,583.50"
"Feb 10, 2022 1:00 PM","Feb 10, 2022 2:00 PM","76,694.75"
"Feb 10, 2022 2:00 PM","Feb 10, 2022 3:00 PM","74,080.50"
"Feb 10, 2022 3:00 PM","Feb 10, 2022 4:00 PM","71,208.25"
"Feb 10, 2022 4:00 PM","Feb 10, 2022 5:00 PM","70,294.75"
"Feb 10, 2022 5:00 PM","Feb 10, 2022 6:00 PM","69,848.25"
"Feb 10, 2022 6:00 PM","Feb 10, 2022 7:00 PM","70,173.00"
"Feb 10, 2022 7:00 PM","Feb 10, 2022 8:00 PM","68,310.00"
"Feb 10, 2022 8:00 PM","Feb 10, 2022 9:00 PM","67,651.25"
"Feb 10, 2022 9:00 PM","Feb 10, 2022 10:00 PM","65,158.50"
"Feb 10, 2022 10:00 PM","Feb 10, 2022 11:00 PM","63,121.00"
"Feb 10, 2022 11:00 PM","Feb 11, 2022 12:00 AM","60,117.00"
"Feb 11, 2022 12:00 AM","Feb 11, 2022 1:00 AM","58,729.50"
"Feb 11, 2022 1:00 AM","Feb 11, 2022 2:00 AM","58,485.50"
"Feb 11, 2022 2:00 AM","Feb 11, 2022 3:00 AM","57,513.00"
"Feb 11, 2022 3:00 AM","Feb 11, 2022 4:00 AM","57,805.50"
"Feb 11, 2022 4:00 AM","Feb 11, 2022 5:00 AM","59,219.00"
"Feb 11, 2022 5:00 AM","Feb 11, 2022 6:00 AM","61,460.25"
"Feb 11, 2022 6:00 AM","Feb 11, 2022 7:00 AM","66,384.00"
"Feb 11, 2022 7:00 AM","Feb 11, 2022 8:00 AM","71,029.50"
"Feb 11, 2022 8:00 AM","Feb 11, 2022 9:00 AM","73,643.75"
"Feb 11, 2022 9:00 AM","Feb 11, 2022 10:00 AM","75,388.00"
"Feb 11, 2022 10:00 AM","Feb 11, 2022 11:00 AM","78,259.50"
"Feb 11, 2022 11:00 AM","Feb 11, 2022 12:00 PM","80,607.00"
"Feb 11, 2022 12:00 PM","Feb 11, 2022 1:00 PM","82,102.25"
"Feb 11, 2022 1:00 PM","Feb 11, 2022 2:00 PM","79,237.00"
"Feb 11, 2022 2:00 PM","Feb 11, 2022 3:00 PM","76,516.50"
"Feb 11, 2022 3:00 PM","Feb 11, 2022 4:00 PM","72,450.75"
"Feb 11, 2022 4:00 PM","Feb 11, 2022 5:00 PM","69,626.75"
"Feb 11, 2022 5:00 PM","Feb 11, 2022 6:00 PM","70,180.50"
"Feb 11, 2022 6:00 PM","Feb 11, 2022 7:00 PM","69,833.50"
"Feb 11, 2022 7:00 PM","Feb 11, 2022 8:00 PM","66,837.75"
"Feb 11, 2022 8:00 PM","Feb 11, 2022 9:00 PM","62,188.75"
"Feb 11, 2022 9:00 PM","Feb 11, 2022 10:00 PM","58,493.50"
"Feb 11, 2022 10:00 PM","Feb 11, 2022 11:00 PM","55,177.75"
"Feb 11, 2022 11:00 PM","Feb 12, 2022 12:00 AM","52,986.00"
"Feb 12, 2022 12:00 AM","Feb 12, 2022 1:00 AM","51,528.25"
"Feb 12, 2022 1:00 AM","Feb 12, 2022 2:00 AM","51,284.50"
"Feb 12, 2022 2:00 AM","Feb 12, 2022 3:00 AM","51,835.50"
"Feb 12, 2022 3:00 AM","Feb 12, 2022 4:00 AM","53,063.00"
"Feb 12, 2022 4:00 AM","Feb 12, 2022 5:00 AM","54,773.50"
"Feb 12, 2022 5:00 AM","Feb 12, 2022 6:00 AM","56,435.75"
"Feb 12, 2022 6:00 AM","Feb 12, 2022 7:00 AM","58,799.25"
"Feb 12, 2022 7:00 AM","Feb 12, 2022 8:00 AM","61,177.25"
"Feb 12, 2022 8:00 AM","Feb 12, 2022 9:00 AM","64,267.50"
"Feb 12, 2022 9:00 AM","Feb 12, 2022 10:00 AM","67,695.25"
"Feb 12, 2022 10:00 AM","Feb 12, 2022 11:00 AM","70,996.25"
"Feb 12, 2022 11:00 AM","Feb 12, 2022 12:00 PM","74,261.00"
"Feb 12, 2022 12:00 PM","Feb 12, 2022 1:00 PM","74,449.75"
"Feb 12, 2022 1:00 PM","Feb 12, 2022 2:00 PM","73,076.00"
"Feb 12, 2022 2:00 PM","Feb 12, 2022 3:00 PM","70,249.25"
"Feb 12, 2022 3:00 PM","Feb 12, 2022 4:00 PM","67,101.50"
"Feb 12, 2022 4:00 PM","Feb 12, 2022 5:00 PM","65,824.25"
"Feb 12, 2022 5:00 PM","Feb 12, 2022 6:00 PM","65,650.75"
"Feb 12, 2022 6:00 PM","Feb 12, 2022 7:00 PM","67,766.25"
"Feb 12, 2022 7:00 PM","Feb 12, 2022 8:00 PM","68,375.25"
"Feb 12, 2022 8:00 PM","Feb 12, 2022 9:00 PM","67,061.75"
"Feb 12, 2022 9:00 PM","Feb 12, 2022 10:00 PM","65,409.00"
"Feb 12, 2022 10:00 PM","Feb 12, 2022 11:00 PM","63,058.50"
"Feb 12, 2022 11:00 PM","Feb 13, 2022 12:00 AM","62,035.00"
"Feb 13, 2022 12:00 AM","Feb 13, 2022 1:00 AM","60,522.25"
"Feb 13, 2022 1:00 AM","Feb 13, 2022 2:00 AM","59,627.50"
"Feb 13, 2022 2:00 AM","Feb 13, 2022 3:00 AM","58,324.50"
"Feb 13, 2022 3:00 AM","Feb 13, 2022 4:00 AM","58,315.25"
"Feb 13, 2022 4:00 AM","Feb 13, 2022 5:00 AM","58,682.25"
"Feb 13, 2022 5:00 AM","Feb 13, 2022 6:00 AM","58,890.25"
"Feb 13, 2022 6:00 AM","Feb 13, 2022 7:00 AM","59,545.50"
"Feb 13, 2022 7:00 AM","Feb 13, 2022 8:00 AM","59,362.50"
"Feb 13, 2022 8:00 AM","Feb 13, 2022 9:00 AM","61,061.25"
"Feb 13, 2022 9:00 AM","Feb 13, 2022 10:00 AM","65,380.25"
"Feb 13, 2022 10:00 AM","Feb 13, 2022 11:00 AM","70,232.50"
"Feb 13, 2022 11:00 AM","Feb 13, 2022 12:00 PM","73,270.50"
"Feb 13, 2022 12:00 PM","Feb 13, 2022 1:00 PM","73,609.50"
"Feb 13, 2022 1:00 PM","Feb 13, 2022 2:00 PM","72,348.25"
"Feb 13, 2022 2:00 PM","Feb 13, 2022 3:00 PM","68,044.50"
"Feb 13, 2022 3:00 PM","Feb 13, 2022 4:00 PM","62,673.50"
"Feb 13, 2022 4:00 PM","Feb 13, 2022 5:00 PM","61,130.50"
"Feb 13, 2022 5:00 PM","Feb 13, 2022 6:00 PM","65,929.25"
"Feb 13, 2022 6:00 PM","Feb 13, 2022 7:00 PM","71,312.50"
"Feb 13, 2022 7:00 PM","Feb 13, 2022 8:00 PM","70,813.50"
"Feb 13, 2022 8:00 PM","Feb 13, 2022 9:00 PM","70,547.25"
"Feb 13, 2022 9:00 PM","Feb 13, 2022 10:00 PM","70,080.75"
"Feb 13, 2022 10:00 PM","Feb 13, 2022 11:00 PM","68,310.75"
"Feb 13, 2022 11:00 PM","Feb 14, 2022 12:00 AM","66,998.25"
"Feb 14, 2022 12:00 AM","Feb 14, 2022 1:00 AM","64,264.00"
"Feb 14, 2022 1:00 AM","Feb 14, 2022 2:00 AM","63,920.00"
"Feb 14, 2022 2:00 AM","Feb 14, 2022 3:00 AM","63,627.50"
"Feb 14, 2022 3:00 AM","Feb 14, 2022 4:00 AM","63,397.50"
"Feb 14, 2022 4:00 AM","Feb 14, 2022 5:00 AM","64,580.25"
"Feb 14, 2022 5:00 AM","Feb 14, 2022 6:00 AM","67,448.75"
"Feb 14, 2022 6:00 AM","Feb 14, 2022 7:00 AM","73,299.25"
"Feb 14, 2022 7:00 AM","Feb 14, 2022 8:00 AM","76,550.25"
"Feb 14, 2022 8:00 AM","Feb 14, 2022 9:00 AM","80,218.00"
"Feb 14, 2022 9:00 AM","Feb 14, 2022 10:00 AM","83,210.25"
"Feb 14, 2022 10:00 AM","Feb 14, 2022 11:00 AM","84,843.50"
"Feb 14, 2022 11:00 AM","Feb 14, 2022 12:00 PM","85,284.50"
"Feb 14, 2022 12:00 PM","Feb 14, 2022 1:00 PM","84,086.25"
"Feb 14, 2022 1:00 PM","Feb 14, 2022 2:00 PM","82,673.00"
"Feb 14, 2022 2:00 PM","Feb 14, 2022 3:00 PM","80,030.75"
"Feb 14, 2022 3:00 PM","Feb 14, 2022 4:00 PM","76,308.00"
"Feb 14, 2022 4:00 PM","Feb 14, 2022 5:00 PM","73,922.25"
"Feb 14, 2022 5:00 PM","Feb 14, 2022 6:00 PM","73,533.50"
"Feb 14, 2022 6:00 PM","Feb 14, 2022 7:00 PM","75,864.50"
"Feb 14, 2022 7:00 PM","Feb 14, 2022 8:00 PM","74,529.25"
"Feb 14, 2022 8:00 PM","Feb 14, 2022 9:00 PM","72,771.25"
"Feb 14, 2022 9:00 PM","Feb 14, 2022 10:00 PM","68,685.00"
"Feb 14, 2022 10:00 PM","Feb 14, 2022 11:00 PM","67,006.50"
"Feb 14, 2022 11:00 PM","Feb 15, 2022 12:00 AM","64,142.75"
"Feb 15, 2022 12:00 AM","Feb 15, 2022 1:00 AM","63,722.50"
"Feb 15, 2022 1:00 AM","Feb 15, 2022 2:00 AM","62,673.25"
"Feb 15, 2022 2:00 AM","Feb 15, 2022 3:00 AM","62,709.25"
"Feb 15, 2022 3:00 AM","Feb 15, 2022 4:00 AM","62,098.00"
"Feb 15, 2022 4:00 AM","Feb 15, 2022 5:00 AM","63,069.50"
"Feb 15, 2022 5:00 AM","Feb 15, 2022 6:00 AM","64,533.00"
"Feb 15, 2022 6:00 AM","Feb 15, 2022 7:00 AM","67,195.25"
"Feb 15, 2022 7:00 AM","Feb 15, 2022 8:00 AM","69,337.50"
"Feb 15, 2022 8:00 AM","Feb 15, 2022 9:00 AM","71,335.50"
"Feb 15, 2022 9:00 AM","Feb 15, 2022 10:00 AM","71,772.00"
"Feb 15, 2022 10:00 AM","Feb 15, 2022 11:00 AM","73,519.50"
"Feb 15, 2022 11:00 AM","Feb 15, 2022 12:00 PM","76,544.75"
"Feb 15, 2022 12:00 PM","Feb 15, 2022 1:00 PM","77,830.75"
"Feb 15, 2022 1:00 PM","Feb 15, 2022 2:00 PM","77,577.00"
"Feb 15, 2022 2:00 PM","Feb 15, 2022 3:00 PM","76,838.50"
"Feb 15, 2022 3:00 PM","Feb 15, 2022 4:00 PM","74,964.50"
"Feb 15, 2022 4:00 PM","Feb 15, 2022 5:00 PM","73,196.00"
"Feb 15, 2022 5:00 PM","Feb 15, 2022 6:00 PM","74,626.75"
"Feb 15, 2022 6:00 PM","Feb 15, 2022 7:00 PM","79,276.50"
"Feb 15, 2022 7:00 PM","Feb 15, 2022 8:00 PM","79,705.00"
"Feb 15, 2022 8:00 PM","Feb 15, 2022 9:00 PM","77,933.25"
"Feb 15, 2022 9:00 PM","Feb 15, 2022 10:00 PM","76,467.50"
"Feb 15, 2022 10:00 PM","Feb 15, 2022 11:00 PM","73,763.75"
"Feb 15, 2022 11:00 PM","Feb 16, 2022 12:00 AM","71,458.25"
"Feb 16, 2022 12:00 AM","Feb 16, 2022 1:00 AM","68,365.75"
"Feb 16, 2022 1:00 AM","Feb 16, 2022 2:00 AM","66,500.25"
"Feb 16, 2022 2:00 AM","Feb 16, 2022 3:00 AM","63,500.75"
"Feb 16, 2022 3:00 AM","Feb 16, 2022 4:00 AM","63,399.25"
"Feb 16, 2022 4:00 AM","Feb 16, 2022 5:00 AM","62,633.50"
"Feb 16, 2022 5:00 AM","Feb 16, 2022 6:00 AM","64,721.00"
"Feb 16, 2022 6:00 AM","Feb 16, 2022 7:00 AM","71,169.00"
"Feb 16, 2022 7:00 AM","Feb 16, 2022 8:00 AM","76,551.75"
"Feb 16, 2022 8:00 AM","Feb 16, 2022 9:00 AM","81,211.75"
"Feb 16, 2022 9:00 AM","Feb 16, 2022 10:00 AM","83,654.50"
"Feb 16, 2022 10:00 AM","Feb 16, 2022 11:00 AM","86,336.75"
"Feb 16, 2022 11:00 AM","Feb 16, 2022 12:00 PM","87,022.25"
"Feb 16, 2022 12:00 PM","Feb 16, 2022 1:00 PM","85,625.50"
"Feb 16, 2022 1:00 PM","Feb 16, 2022 2:00 PM","85,689.25"
"Feb 16, 2022 2:00 PM","Feb 16, 2022 3:00 PM","84,343.50"
"Feb 16, 2022 3:00 PM","Feb 16, 2022 4:00 PM","82,572.00"
"Feb 16, 2022 4:00 PM","Feb 16, 2022 5:00 PM","81,849.50"
"Feb 16, 2022 5:00 PM","Feb 16, 2022 6:00 PM","82,338.50"
"Feb 16, 2022 6:00 PM","Feb 16, 2022 7:00 PM","82,785.25"
"Feb 16, 2022 7:00 PM","Feb 16, 2022 8:00 PM","81,085.50"
"Feb 16, 2022 8:00 PM","Feb 16, 2022 9:00 PM","78,036.25"
"Feb 16, 2022 9:00 PM","Feb 16, 2022 10:00 PM","75,928.25"
"Feb 16, 2022 10:00 PM","Feb 16, 2022 11:00 PM","73,637.25"
"Feb 16, 2022 11:00 PM","Feb 17, 2022 12:00 AM","71,945.75"
"Feb 17, 2022 12:00 AM","Feb 17, 2022 1:00 AM","68,674.25"
"Feb 17, 2022 1:00 AM","Feb 17, 2022 2:00 AM","67,743.25"
"Feb 17, 2022 2:00 AM","Feb 17, 2022 3:00 AM","65,561.25"
"Feb 17, 2022 3:00 AM","Feb 17, 2022 4:00 AM","63,164.50"
"Feb 17, 2022 4:00 AM","Feb 17, 2022 5:00 AM","62,373.75"
"Feb 17, 2022 5:00 AM","Feb 17, 2022 6:00 AM","63,563.25"
"Feb 17, 2022 6:00 AM","Feb 17, 2022 7:00 AM","70,127.00"
"Feb 17, 2022 7:00 AM","Feb 17, 2022 8:00 AM","76,339.00"
"Feb 17, 2022 8:00 AM","Feb 17, 2022 9:00 AM","77,634.25"
"Feb 17, 2022 9:00 AM","Feb 17, 2022 10:00 AM","80,500.75"
"Feb 17, 2022 10:00 AM","Feb 17, 2022 11:00 AM","82,229.00"
"Feb 17, 2022 11:00 AM","Feb 17, 2022 12:00 PM","82,535.25"
"Feb 17, 2022 12:00 PM","Feb 17, 2022 1:00 PM","84,073.25"
"Feb 17, 2022 1:00 PM","Feb 17, 2022 2:00 PM","83,810.75"
"Feb 17, 2022 2:00 PM","Feb 17, 2022 3:00 PM","82,649.50"
"Feb 17, 2022 3:00 PM","Feb 17, 2022 4:00 PM","80,418.25"
"Feb 17, 2022 4:00 PM","Feb 17, 2022 5:00 PM","78,878.50"
"Feb 17, 2022 5:00 PM","Feb 17, 2022 6:00 PM","79,175.25"
