time,temperature_2m (øC),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),wind_speed_100m (km/h)
2022-02-09T00:00,8.4,94,0.1,0.1,0,51,33.5
2022-02-09T01:00,8.4,93,0.1,0.1,0,51,32.5
2022-02-09T02:00,8.3,93,0.1,0.1,0,51,34.2
2022-02-09T03:00,8.3,91,0,0,0,3,34.5
2022-02-09T04:00,8.3,89,0,0,0,3,35.6
2022-02-09T05:00,7.9,87,0,0,0,3,35.3
2022-02-09T06:00,7.5,87,0,0,0,3,35.2
2022-02-09T07:00,6.8,89,0,0,0,2,34.4
2022-02-09T08:00,7.1,87,0,0,0,3,35.3
2022-02-09T09:00,7.9,85,0,0,0,3,30.5
2022-02-09T10:00,8.8,78,0,0,0,3,35.1
2022-02-09T11:00,9.3,76,0,0,0,3,34.5
2022-02-09T12:00,9.4,76,0,0,0,3,30
2022-02-09T13:00,9,81,0.1,0.1,0,51,28
2022-02-09T14:00,9.4,75,0,0,0,3,34.5
2022-02-09T15:00,9.3,78,0,0,0,3,30.2
2022-02-09T16:00,9,81,0,0,0,3,32.2
2022-02-09T17:00,9,80,0,0,0,3,33.6
2022-02-09T18:00,8.9,80,0,0,0,3,33.3
2022-02-09T19:00,8.7,79,0,0,0,3,33
2022-02-09T20:00,8.8,77,0,0,0,3,32.4
2022-02-09T21:00,8.8,75,0,0,0,3,32.1
2022-02-09T22:00,8.4,77,0,0,0,3,31.4
2022-02-09T23:00,8.4,77,0,0,0,3,30.3
2022-02-10T00:00,8.2,80,0,0,0,3,26.2
2022-02-10T01:00,8.1,79,0,0,0,3,28.5
2022-02-10T02:00,7.2,83,0,0,0,3,27.9
2022-02-10T03:00,7.3,83,0,0,0,3,22.8
2022-02-10T04:00,7,85,0,0,0,3,21.5
2022-02-10T05:00,6.1,89,0,0,0,3,22.9
2022-02-10T06:00,6.1,89,0,0,0,3,21
2022-02-10T07:00,6,90,0,0,0,3,22.9
2022-02-10T08:00,6.4,89,0,0,0,3,29.1
2022-02-10T09:00,7.1,88,0,0,0,3,31.3
2022-02-10T10:00,7.4,86,0,0,0,3,22.5
2022-02-10T11:00,8.7,79,0,0,0,3,25
2022-02-10T12:00,9.5,77,0.1,0.1,0,51,23.7
2022-02-10T13:00,8.8,80,0.4,0.4,0,51,24.5
2022-02-10T14:00,7.9,90,0.8,0.8,0,53,27
2022-02-10T15:00,6.9,88,0.3,0.3,0,51,23.4
2022-02-10T16:00,6.1,88,0,0,0,3,16.5
2022-02-10T17:00,5.8,88,0,0,0,3,16.9
2022-02-10T18:00,5.7,88,0,0,0,3,21.7
2022-02-10T19:00,5.4,87,0,0,0,3,23.4
2022-02-10T20:00,5.3,88,0.1,0.1,0,51,24.1
2022-02-10T21:00,5,90,0.2,0.2,0,51,24.2
2022-02-10T22:00,4.8,90,0,0,0,3,22.3
2022-02-10T23:00,4.6,91,0,0,0,3,20.2
2022-02-11T00:00,4.2,89,0,0,0,3,20.2
2022-02-11T01:00,3.7,91,0,0,0,3,20.2
2022-02-11T02:00,3.5,92,0,0,0,3,21
2022-02-11T03:00,3.3,93,0,0,0,3,20.4
2022-02-11T04:00,3.2,91,0.1,0.1,0,51,21.3
2022-02-11T05:00,3.2,92,0.1,0.1,0,51,21
2022-02-11T06:00,3.1,92,0.1,0.1,0,51,21.5
2022-02-11T07:00,2.9,91,0.1,0.1,0,51,22.2
2022-02-11T08:00,3.4,82,0.1,0.1,0,51,25.5
2022-02-11T09:00,3.9,86,0,0,0,1,24.7
2022-02-11T10:00,4.8,82,0,0,0,1,23.7
2022-02-11T11:00,5.4,77,0.1,0.1,0,51,23.9
2022-02-11T12:00,4.2,83,0.1,0.1,0,51,23.1
2022-02-11T13:00,5.2,78,0,0,0,3,19.8
2022-02-11T14:00,5.4,74,0,0,0,1,15.9
2022-02-11T15:00,5.4,73,0,0,0,1,15.5
2022-02-11T16:00,3.7,83,0,0,0,3,19.2
2022-02-11T17:00,3.8,81,0,0,0,1,25.8
