Start date,End date,Germany/Luxembourg [?/MWh],,,,,,,,,,,,,,,,
"Feb 10, 2025 12:00 AM","Feb 10, 2025 1:00 AM",118.58,,,,,,,,,,,,,,,,
"Feb 10, 2025 1:00 AM","Feb 10, 2025 2:00 AM",111.82,,,,,,,,,,,,,,,,
"Feb 10, 2025 2:00 AM","Feb 10, 2025 3:00 AM",109.22,,,,,,,,,,,,,,,,
"Feb 10, 2025 3:00 AM","Feb 10, 2025 4:00 AM",106.29,,,,,,,,,,,,,,,,
"Feb 10, 2025 4:00 AM","Feb 10, 2025 5:00 AM",105.85,,,,,,,,,,,,,,,,
"Feb 10, 2025 5:00 AM","Feb 10, 2025 6:00 AM",112.00,,,,,,,,,,,,,,,,
"Feb 10, 2025 6:00 AM","Feb 10, 2025 7:00 AM",145.38,,,,,,,,,,,,,,,,
"Feb 10, 2025 7:00 AM","Feb 10, 2025 8:00 AM",162.02,,,,,,,,,,,,,,,,
"Feb 10, 2025 8:00 AM","Feb 10, 2025 9:00 AM",181.36,,,,,,,,,,,,,,,,
"Feb 10, 2025 9:00 AM","Feb 10, 2025 10:00 AM",163.18,,,,,,,,,,,,,,,,
"Feb 10, 2025 10:00 AM","Feb 10, 2025 11:00 AM",135.90,,,,,,,,,,,,,,,,
"Feb 10, 2025 11:00 AM","Feb 10, 2025 12:00 PM",115.28,,,,,,,,,,,,,,,,
"Feb 10, 2025 12:00 PM","Feb 10, 2025 1:00 PM",109.36,,,,,,,,,,,,,,,,
"Feb 10, 2025 1:00 PM","Feb 10, 2025 2:00 PM",109.74,,,,,,,,,,,,,,,,
"Feb 10, 2025 2:00 PM","Feb 10, 2025 3:00 PM",123.07,,,,,,,,,,,,,,,,
"Feb 10, 2025 3:00 PM","Feb 10, 2025 4:00 PM",128.54,,,,,,,,,,,,,,,,
"Feb 10, 2025 4:00 PM","Feb 10, 2025 5:00 PM",133.58,,,,,,,,,,,,,,,,
"Feb 10, 2025 5:00 PM","Feb 10, 2025 6:00 PM",133.82,,,,,,,,,,,,,,,,
"Feb 10, 2025 6:00 PM","Feb 10, 2025 7:00 PM",142.11,,,,,,,,,,,,,,,,
