Start date,End date,Germany/Luxembourg [?/MWh],,,,,,,,,,,,,,,,
"Feb 9, 2022 12:00 AM","Feb 9, 2022 1:00 AM",115.08,,,,,,,,,,,,,,,,
"Feb 9, 2022 1:00 AM","Feb 9, 2022 2:00 AM",114.87,,,,,,,,,,,,,,,,
"Feb 9, 2022 2:00 AM","Feb 9, 2022 3:00 AM",118.79,,,,,,,,,,,,,,,,
"Feb 9, 2022 3:00 AM","Feb 9, 2022 4:00 AM",109.58,,,,,,,,,,,,,,,,
"Feb 9, 2022 4:00 AM","Feb 9, 2022 5:00 AM",116.95,,,,,,,,,,,,,,,,
"Feb 9, 2022 5:00 AM","Feb 9, 2022 6:00 AM",119.34,,,,,,,,,,,,,,,,
"Feb 9, 2022 6:00 AM","Feb 9, 2022 7:00 AM",139.38,,,,,,,,,,,,,,,,
"Feb 9, 2022 7:00 AM","Feb 9, 2022 8:00 AM",177.16,,,,,,,,,,,,,,,,
"Feb 9, 2022 8:00 AM","Feb 9, 2022 9:00 AM",180.64,,,,,,,,,,,,,,,,
"Feb 9, 2022 9:00 AM","Feb 9, 2022 10:00 AM",179.50,,,,,,,,,,,,,,,,
"Feb 9, 2022 10:00 AM","Feb 9, 2022 11:00 AM",127.06,,,,,,,,,,,,,,,,
"Feb 9, 2022 11:00 AM","Feb 9, 2022 12:00 PM",122.01,,,,,,,,,,,,,,,,
"Feb 9, 2022 12:00 PM","Feb 9, 2022 1:00 PM",123.35,,,,,,,,,,,,,,,,
"Feb 9, 2022 1:00 PM","Feb 9, 2022 2:00 PM",136.91,,,,,,,,,,,,,,,,
"Feb 9, 2022 2:00 PM","Feb 9, 2022 3:00 PM",149.42,,,,,,,,,,,,,,,,
"Feb 9, 2022 3:00 PM","Feb 9, 2022 4:00 PM",179.92,,,,,,,,,,,,,,,,
"Feb 9, 2022 4:00 PM","Feb 9, 2022 5:00 PM",189.95,,,,,,,,,,,,,,,,
"Feb 9, 2022 5:00 PM","Feb 9, 2022 6:00 PM",219.00,,,,,,,,,,,,,,,,
"Feb 9, 2022 6:00 PM","Feb 9, 2022 7:00 PM",249.12,,,,,,,,,,,,,,,,
"Feb 9, 2022 7:00 PM","Feb 9, 2022 8:00 PM",257.28,,,,,,,,,,,,,,,,
"Feb 9, 2022 8:00 PM","Feb 9, 2022 9:00 PM",231.79,,,,,,,,,,,,,,,,
"Feb 9, 2022 9:00 PM","Feb 9, 2022 10:00 PM",215.81,,,,,,,,,,,,,,,,
"Feb 9, 2022 10:00 PM","Feb 9, 2022 11:00 PM",211.79,,,,,,,,,,,,,,,,
"Feb 9, 2022 11:00 PM","Feb 10, 2022 12:00 AM",196.70,,,,,,,,,,,,,,,,
"Feb 10, 2022 12:00 AM","Feb 10, 2022 1:00 AM",200.46,,,,,,,,,,,,,,,,
"Feb 10, 2022 1:00 AM","Feb 10, 2022 2:00 AM",192.61,,,,,,,,,,,,,,,,
"Feb 10, 2022 2:00 AM","Feb 10, 2022 3:00 AM",185.10,,,,,,,,,,,,,,,,
"Feb 10, 2022 3:00 AM","Feb 10, 2022 4:00 AM",172.23,,,,,,,,,,,,,,,,
"Feb 10, 2022 4:00 AM","Feb 10, 2022 5:00 AM",172.91,,,,,,,,,,,,,,,,
"Feb 10, 2022 5:00 AM","Feb 10, 2022 6:00 AM",174.88,,,,,,,,,,,,,,,,
"Feb 10, 2022 6:00 AM","Feb 10, 2022 7:00 AM",203.67,,,,,,,,,,,,,,,,
"Feb 10, 2022 7:00 AM","Feb 10, 2022 8:00 AM",233.46,,,,,,,,,,,,,,,,
"Feb 10, 2022 8:00 AM","Feb 10, 2022 9:00 AM",240.32,,,,,,,,,,,,,,,,
"Feb 10, 2022 9:00 AM","Feb 10, 2022 10:00 AM",225.56,,,,,,,,,,,,,,,,
"Feb 10, 2022 10:00 AM","Feb 10, 2022 11:00 AM",199.99,,,,,,,,,,,,,,,,
"Feb 10, 2022 11:00 AM","Feb 10, 2022 12:00 PM",193.67,,,,,,,,,,,,,,,,
