Start date/time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),weather_code (wmo code),wind_speed_100m (km/h),Price Germany/Luxembourg [Euro/MWh],Total (grid consumption) [MWh],Day of the Week
30/09/2022 00:00,4.4,98,0,0,0,1,11.5,349.44,"43,912.50",Friday
30/09/2022 01:00,4.8,94,0,0,0,2,17.4,336.1,"41,843.25",Friday
30/09/2022 02:00,4.3,95,0,0,0,3,16.2,325.03,"41,379.25",Friday
30/09/2022 03:00,3.7,96,0,0,0,0,14.8,322.42,"41,632.75",Friday
30/09/2022 04:00,3.3,96,0,0,0,0,13.7,324.8,"42,968.00",Friday
30/09/2022 05:00,3.2,96,0,0,0,0,15,348.44,"46,405.25",Friday
30/09/2022 06:00,2.8,96,0,0,0,0,13.6,429.99,"53,719.25",Friday
30/09/2022 07:00,3.3,96,0,0,0,0,14.4,524,"58,402.00",Friday
30/09/2022 08:00,5.8,89,0,0,0,0,13.2,538.92,"60,853.25",Friday
30/09/2022 09:00,8.8,82,0,0,0,0,10.8,431.37,"61,230.50",Friday
30/09/2022 10:00,11.5,72,0,0,0,0,5.8,376.35,"61,334.00",Friday
30/09/2022 11:00,13.1,63,0,0,0,1,6,334.17,"61,687.00",Friday
30/09/2022 12:00,14.1,56,0,0,0,1,8.7,279.01,"60,891.50",Friday
30/09/2022 13:00,14.7,53,0,0,0,3,12.1,252.2,"60,128.50",Friday
30/09/2022 14:00,15.1,50,0,0,0,3,16.1,200.03,"58,183.75",Friday
30/09/2022 15:00,14.9,49,0,0,0,2,16.9,195.36,"57,373.50",Friday
30/09/2022 16:00,14.5,54,0,0,0,2,16.8,218.23,"56,772.25",Friday
30/09/2022 17:00,13.4,61,0,0,0,1,15.3,306.61,"56,557.50",Friday
30/09/2022 18:00,10.4,71,0,0,0,1,15.3,365.85,"57,608.50",Friday
30/09/2022 19:00,8.6,79,0,0,0,1,17.9,356.73,"59,214.75",Friday
30/09/2022 20:00,8.3,80,0,0,0,1,23.3,308.23,"56,716.50",Friday
30/09/2022 21:00,7.9,83,0,0,0,0,22.5,192.44,"53,124.25",Friday
30/09/2022 22:00,7.2,87,0,0,0,0,22,164,"50,440.25",Friday
30/09/2022 23:00,7.2,87,0,0,0,3,23.8,91.95,"47,751.50",Friday
01/10/2022 00:00,7.3,85,0,0,0,3,24.4,64.41,"44,918.75",Saturday
01/10/2022 01:00,8.2,82,0,0,0,3,26.9,63.59,"43,142.25",Saturday
01/10/2022 02:00,8,84,0,0,0,3,26.9,50,"42,568.50",Saturday
01/10/2022 03:00,8.3,82,0,0,0,3,29.2,21.48,"42,440.00",Saturday
01/10/2022 04:00,9,77,0,0,0,3,31.4,16.91,"42,655.50",Saturday
01/10/2022 05:00,9.1,76,0,0,0,3,33.2,15.03,"43,649.25",Saturday
01/10/2022 06:00,9.5,74,0,0,0,3,34.8,15.02,"45,665.50",Saturday
01/10/2022 07:00,9.5,79,0.7,0.7,0,53,36.2,23.84,"48,412.00",Saturday
01/10/2022 08:00,9.5,85,1.5,1.5,0,61,42.9,45.02,"51,597.25",Saturday
01/10/2022 09:00,9.9,84,0.6,0.6,0,53,44.3,73.05,"54,295.25",Saturday
01/10/2022 10:00,10.3,85,0.7,0.7,0,53,44.4,109.85,"55,899.50",Saturday
01/10/2022 11:00,10.8,87,0.5,0.5,0,53,45.3,106.77,"57,234.25",Saturday
01/10/2022 12:00,11.8,84,0.2,0.2,0,51,39.8,90,"56,509.50",Saturday
01/10/2022 13:00,13,78,0.1,0.1,0,51,46.1,74.04,"55,367.25",Saturday
01/10/2022 14:00,14,75,0.1,0.1,0,51,44.2,66.16,"53,729.00",Saturday
01/10/2022 15:00,13.2,80,0.3,0.3,0,51,38.5,66.9,"52,546.25",Saturday
01/10/2022 16:00,12.6,85,0.3,0.3,0,51,35.7,69.82,"51,977.25",Saturday
01/10/2022 17:00,12.4,86,0.6,0.6,0,53,38.8,137.8,"52,155.00",Saturday
01/10/2022 18:00,11.7,89,0,0,0,1,36.5,169.32,"52,932.00",Saturday
01/10/2022 19:00,11.1,90,0.1,0.1,0,51,32.6,195.77,"53,852.75",Saturday
01/10/2022 20:00,10.8,91,0,0,0,1,32,180.27,"51,654.00",Saturday
01/10/2022 21:00,10.6,90,0,0,0,1,31.2,144.9,"49,129.75",Saturday
01/10/2022 22:00,10.3,91,0,0,0,1,31.1,110.29,"46,889.00",Saturday
01/10/2022 23:00,10.2,92,0,0,0,1,30.3,77.45,"44,065.00",Saturday
02/10/2022 00:00,10.1,93,0,0,0,1,30.9,64.54,"41,747.50",Sunday
02/10/2022 01:00,9.9,92,0,0,0,1,32.1,64.04,"40,165.75",Sunday
02/10/2022 02:00,10,92,0,0,0,0,32,58.24,"38,928.00",Sunday
02/10/2022 03:00,9.8,93,0,0,0,1,32.7,61.95,"38,583.75",Sunday
02/10/2022 04:00,9.8,93,0,0,0,0,32.7,59.19,"38,785.00",Sunday
02/10/2022 05:00,9.8,93,0,0,0,1,33,59.53,"39,044.25",Sunday
02/10/2022 06:00,9.8,93,0,0,0,1,32.6,59.38,"39,838.00",Sunday
02/10/2022 07:00,10.4,92,0,0,0,1,31.7,59.17,"41,879.00",Sunday
02/10/2022 08:00,11.9,86,0,0,0,2,31.3,85.03,"44,905.25",Sunday
02/10/2022 09:00,13.3,80,0,0,0,3,35.1,92,"47,785.75",Sunday
02/10/2022 10:00,13.1,83,0,0,0,3,30.1,74.15,"49,750.50",Sunday
02/10/2022 11:00,14,78,0.1,0.1,0,51,31.8,62.08,"50,969.25",Sunday
02/10/2022 12:00,15.1,71,0.1,0.1,0,51,28.5,57.47,"51,177.50",Sunday
02/10/2022 13:00,15.3,72,0,0,0,2,24.9,56.37,"49,845.25",Sunday
02/10/2022 14:00,15.8,69,0,0,0,3,28.5,64.55,"48,567.75",Sunday
02/10/2022 15:00,15.4,64,0.1,0.1,0,51,27.8,67.01,"47,896.25",Sunday
02/10/2022 16:00,15.4,63,0,0,0,2,23.3,91.36,"47,290.50",Sunday
02/10/2022 17:00,14.2,68,0.1,0.1,0,51,25.5,192.05,"47,946.50",Sunday
02/10/2022 18:00,12.8,74,0,0,0,2,23.7,280,"49,082.00",Sunday
02/10/2022 19:00,11.6,79,0,0,0,1,23.5,311.72,"50,541.25",Sunday
02/10/2022 20:00,10.5,84,0,0,0,1,24.8,289.98,"48,805.25",Sunday
02/10/2022 21:00,10.1,86,0,0,0,1,25.9,230.47,"46,910.25",Sunday
