Start date/time,End date/time,Total (grid consumption) [MWh]
"Sep 30, 2022 12:00 AM","Sep 30, 2022 1:00 AM","43,912.50"
"Sep 30, 2022 1:00 AM","Sep 30, 2022 2:00 AM","41,843.25"
"Sep 30, 2022 2:00 AM","Sep 30, 2022 3:00 AM","41,379.25"
"Sep 30, 2022 3:00 AM","Sep 30, 2022 4:00 AM","41,632.75"
"Sep 30, 2022 4:00 AM","Sep 30, 2022 5:00 AM","42,968.00"
"Sep 30, 2022 5:00 AM","Sep 30, 2022 6:00 AM","46,405.25"
"Sep 30, 2022 6:00 AM","Sep 30, 2022 7:00 AM","53,719.25"
"Sep 30, 2022 7:00 AM","Sep 30, 2022 8:00 AM","58,402.00"
"Sep 30, 2022 8:00 AM","Sep 30, 2022 9:00 AM","60,853.25"
"Sep 30, 2022 9:00 AM","Sep 30, 2022 10:00 AM","61,230.50"
"Sep 30, 2022 10:00 AM","Sep 30, 2022 11:00 AM","61,334.00"
"Sep 30, 2022 11:00 AM","Sep 30, 2022 12:00 PM","61,687.00"
"Sep 30, 2022 12:00 PM","Sep 30, 2022 1:00 PM","60,891.50"
"Sep 30, 2022 1:00 PM","Sep 30, 2022 2:00 PM","60,128.50"
"Sep 30, 2022 2:00 PM","Sep 30, 2022 3:00 PM","58,183.75"
"Sep 30, 2022 3:00 PM","Sep 30, 2022 4:00 PM","57,373.50"
"Sep 30, 2022 4:00 PM","Sep 30, 2022 5:00 PM","56,772.25"
"Sep 30, 2022 5:00 PM","Sep 30, 2022 6:00 PM","56,557.50"
"Sep 30, 2022 6:00 PM","Sep 30, 2022 7:00 PM","57,608.50"
"Sep 30, 2022 7:00 PM","Sep 30, 2022 8:00 PM","59,214.75"
"Sep 30, 2022 8:00 PM","Sep 30, 2022 9:00 PM","56,716.50"
"Sep 30, 2022 9:00 PM","Sep 30, 2022 10:00 PM","53,124.25"
"Sep 30, 2022 10:00 PM","Sep 30, 2022 11:00 PM","50,440.25"
"Sep 30, 2022 11:00 PM","Oct 1, 2022 12:00 AM","47,751.50"
"Oct 1, 2022 12:00 AM","Oct 1, 2022 1:00 AM","44,918.75"
"Oct 1, 2022 1:00 AM","Oct 1, 2022 2:00 AM","43,142.25"
"Oct 1, 2022 2:00 AM","Oct 1, 2022 3:00 AM","42,568.50"
"Oct 1, 2022 3:00 AM","Oct 1, 2022 4:00 AM","42,440.00"
"Oct 1, 2022 4:00 AM","Oct 1, 2022 5:00 AM","42,655.50"
"Oct 1, 2022 5:00 AM","Oct 1, 2022 6:00 AM","43,649.25"
"Oct 1, 2022 6:00 AM","Oct 1, 2022 7:00 AM","45,665.50"
"Oct 1, 2022 7:00 AM","Oct 1, 2022 8:00 AM","48,412.00"
"Oct 1, 2022 8:00 AM","Oct 1, 2022 9:00 AM","51,597.25"
"Oct 1, 2022 9:00 AM","Oct 1, 2022 10:00 AM","54,295.25"
"Oct 1, 2022 10:00 AM","Oct 1, 2022 11:00 AM","55,899.50"
"Oct 1, 2022 11:00 AM","Oct 1, 2022 12:00 PM","57,234.25"
"Oct 1, 2022 12:00 PM","Oct 1, 2022 1:00 PM","56,509.50"
"Oct 1, 2022 1:00 PM","Oct 1, 2022 2:00 PM","55,367.25"
"Oct 1, 2022 2:00 PM","Oct 1, 2022 3:00 PM","53,729.00"
"Oct 1, 2022 3:00 PM","Oct 1, 2022 4:00 PM","52,546.25"
"Oct 1, 2022 4:00 PM","Oct 1, 2022 5:00 PM","51,977.25"
"Oct 1, 2022 5:00 PM","Oct 1, 2022 6:00 PM","52,155.00"
"Oct 1, 2022 6:00 PM","Oct 1, 2022 7:00 PM","52,932.00"
"Oct 1, 2022 7:00 PM","Oct 1, 2022 8:00 PM","53,852.75"
"Oct 1, 2022 8:00 PM","Oct 1, 2022 9:00 PM","51,654.00"
"Oct 1, 2022 9:00 PM","Oct 1, 2022 10:00 PM","49,129.75"
"Oct 1, 2022 10:00 PM","Oct 1, 2022 11:00 PM","46,889.00"
"Oct 1, 2022 11:00 PM","Oct 2, 2022 12:00 AM","44,065.00"
"Oct 2, 2022 12:00 AM","Oct 2, 2022 1:00 AM","41,747.50"
"Oct 2, 2022 1:00 AM","Oct 2, 2022 2:00 AM","40,165.75"
"Oct 2, 2022 2:00 AM","Oct 2, 2022 3:00 AM","38,928.00"
"Oct 2, 2022 3:00 AM","Oct 2, 2022 4:00 AM","38,583.75"
"Oct 2, 2022 4:00 AM","Oct 2, 2022 5:00 AM","38,785.00"
"Oct 2, 2022 5:00 AM","Oct 2, 2022 6:00 AM","39,044.25"
"Oct 2, 2022 6:00 AM","Oct 2, 2022 7:00 AM","39,838.00"
"Oct 2, 2022 7:00 AM","Oct 2, 2022 8:00 AM","41,879.00"
"Oct 2, 2022 8:00 AM","Oct 2, 2022 9:00 AM","44,905.25"
"Oct 2, 2022 9:00 AM","Oct 2, 2022 10:00 AM","47,785.75"
"Oct 2, 2022 10:00 AM","Oct 2, 2022 11:00 AM","49,750.50"
"Oct 2, 2022 11:00 AM","Oct 2, 2022 12:00 PM","50,969.25"
"Oct 2, 2022 12:00 PM","Oct 2, 2022 1:00 PM","51,177.50"
"Oct 2, 2022 1:00 PM","Oct 2, 2022 2:00 PM","49,845.25"
"Oct 2, 2022 2:00 PM","Oct 2, 2022 3:00 PM","48,567.75"
"Oct 2, 2022 3:00 PM","Oct 2, 2022 4:00 PM","47,896.25"
"Oct 2, 2022 4:00 PM","Oct 2, 2022 5:00 PM","47,290.50"
"Oct 2, 2022 5:00 PM","Oct 2, 2022 6:00 PM","47,946.50"
"Oct 2, 2022 6:00 PM","Oct 2, 2022 7:00 PM","49,082.00"
"Oct 2, 2022 7:00 PM","Oct 2, 2022 8:00 PM","50,541.25"
"Oct 2, 2022 8:00 PM","Oct 2, 2022 9:00 PM","48,805.25"
"Oct 2, 2022 9:00 PM","Oct 2, 2022 10:00 PM","46,910.25"
"Oct 2, 2022 10:00 PM","Oct 2, 2022 11:00 PM","45,492.50"
"Oct 2, 2022 11:00 PM","Oct 3, 2022 12:00 AM","43,175.50"
"Oct 3, 2022 12:00 AM","Oct 3, 2022 1:00 AM","40,516.00"
"Oct 3, 2022 1:00 AM","Oct 3, 2022 2:00 AM","39,197.25"
"Oct 3, 2022 2:00 AM","Oct 3, 2022 3:00 AM","38,224.00"
"Oct 3, 2022 3:00 AM","Oct 3, 2022 4:00 AM","37,915.75"
"Oct 3, 2022 4:00 AM","Oct 3, 2022 5:00 AM","38,430.25"
"Oct 3, 2022 5:00 AM","Oct 3, 2022 6:00 AM","39,210.75"
"Oct 3, 2022 6:00 AM","Oct 3, 2022 7:00 AM","39,781.25"
"Oct 3, 2022 7:00 AM","Oct 3, 2022 8:00 AM","40,691.25"
"Oct 3, 2022 8:00 AM","Oct 3, 2022 9:00 AM","43,201.00"
"Oct 3, 2022 9:00 AM","Oct 3, 2022 10:00 AM","45,697.75"
"Oct 3, 2022 10:00 AM","Oct 3, 2022 11:00 AM","48,092.00"
"Oct 3, 2022 11:00 AM","Oct 3, 2022 12:00 PM","50,176.75"
"Oct 3, 2022 12:00 PM","Oct 3, 2022 1:00 PM","50,611.25"
"Oct 3, 2022 1:00 PM","Oct 3, 2022 2:00 PM","48,549.50"
"Oct 3, 2022 2:00 PM","Oct 3, 2022 3:00 PM","47,414.00"
"Oct 3, 2022 3:00 PM","Oct 3, 2022 4:00 PM","46,395.50"
"Oct 3, 2022 4:00 PM","Oct 3, 2022 5:00 PM","45,782.75"
"Oct 3, 2022 5:00 PM","Oct 3, 2022 6:00 PM","47,560.50"
"Oct 3, 2022 6:00 PM","Oct 3, 2022 7:00 PM","49,231.50"
"Oct 3, 2022 7:00 PM","Oct 3, 2022 8:00 PM","51,204.75"
"Oct 3, 2022 8:00 PM","Oct 3, 2022 9:00 PM","49,457.50"
"Oct 3, 2022 9:00 PM","Oct 3, 2022 10:00 PM","47,352.25"
"Oct 3, 2022 10:00 PM","Oct 3, 2022 11:00 PM","45,888.25"
"Oct 3, 2022 11:00 PM","Oct 4, 2022 12:00 AM","43,328.50"
"Oct 4, 2022 12:00 AM","Oct 4, 2022 1:00 AM","41,254.50"
"Oct 4, 2022 1:00 AM","Oct 4, 2022 2:00 AM","40,107.00"
"Oct 4, 2022 2:00 AM","Oct 4, 2022 3:00 AM","39,464.75"
"Oct 4, 2022 3:00 AM","Oct 4, 2022 4:00 AM","39,625.75"
